gene_name	regulator	sign
tkt	spo0A	-1
tkt	lexA	0
yceI	nadR	-1
ybbC	sigE	1
ybbC	codY	0
ybbC	murR	0
ytxG	sigH	1
ytxG	sigB	1
gmuB	sigA	1
gmuB	gmuR	-1
gmuB	ccpA	-1
gmuB	abrB	1
dapA	sigK	1
dapA	sigA	1
dapA	L-box-LYS	1
perR	sigA	1
perR	perR	-1
spoIIIAH	sigE	1
spoIIIAH	gerR	-1
spoIIIAH	spoIIID	-1
spoIIIAH	gerE	-1
yycB	tnrA	-1
smc	sigK	1
smc	sigA	1
smc	stringent response	-1
smc	gerE	1
csfB	sigF	1
yheC	sigE	1
yheC	spoIIID	1
yuxO	sigA	1
yuzC	sigE	1
zosA	sigA	1
zosA	perR	-1
pyrE	sigA	1
pyrE	pyrR	1
pyrE	purR	-1
yjfA	sigE	1
yjgD	sigB	1
ydbD	sigB	1
yomJ	abrB	-1
spoVT	sigG	1
spoVT	sigF	1
spoVT	spoVT	-1
yhjE	lexA	-1
ykzD	sigG	1
yqdA	sknR	-1
yobN	sigE	1
yobN	spoIIID	-1
yobN	gerR	-1
yisI	sigK	1
yisI	sigE	1
yisI	spo0A	1
yuxH	sigA	1
yuxH	spo0A	-1
fadG	fadR	-1
araA	sigA	1
araA	ccpA	-1
araA	araR	-1
odhB	sigA	1
odhB	ccpA	-1
xpt	sigA	1
xpt	purR	-1
xpt	G-box-HXTX	1
xpt	G-box-GUA	1
rplD	stringent response	-1
lysA	sigG	1
lysA	sigA	1
lysA	spoVT	1
lysA	L-box-LYS	1
mrnC	sigA	1
mrnC	T-box-CYS	1
yobO	sigH	1
yobO	ccpA	-1
yobO	abrB	-1
hisD	hisR	0
qoxD	stringent response	-1
rpmEA	stringent response	-1
yneE	spo0A	1
yneE	lexA	0
yabP	sigE	1
yabP	sigX	1
yabP	sigW	1
yabP	spoIIID	-1
cspR	sigE	1
yqaG	sknR	-1
ligA	lexA	-1
katE	sigB	1
ydfF	ydfF	0
bglS	sigA	1
bglS	licT	1
bglS	ccpA	-1
bglS	degU	1
trpC	sigA	1
trpC	TRAP	-1
rnr	sigB	1
degS	sigA	1
metN	sigA	1
metN	S-box-SAM	-1
metN	codY	1
yvyF	sigD	1
yvyF	sigA	1
yvyF	comK	1
ywkF	sigK	1
comFC	sigD	1
comFC	sigA	1
comFC	comK	1
metI	sigA	1
metI	S-box-SAM	-1
metI	codY	0
ywzA	sigB	1
oppD	tnrA	1
oppD	scoC	-1
oppD	codY	0
ypiA	sigE	1
ypiA	spoIIID	-1
lipC	sigK	1
lipC	tnrA	1
lipC	kipR	-1
ydeL	yhdI/YdeL	0
amyD	ccpA	-1
amyD	msmR	0
dppB	sigA	1
dppB	codY	-1
dppB	abrB	-1
yxaJ	rok	-1
yxaJ	abrB	-1
ywbA	ccpA	0
ywbA	rbsR	0
yrkH	yrkD	0
ylaB	ylaC	1
ylaB	sigA	1
ylaB	spx	1
sdpB	spo0A	1
sdpB	rok	-1
sdpB	abrB	-1
fadA	sigA	1
fadA	sdpR	1
fadA	fadR	-1
fadA	ccpA	-1
csbC	sigB	1
yuiF	hisR	0
ywiE	sigB	1
csgA	sigG	1
csgA	spoVT	-1
ymaD	sigE	1
yitT	sigB	1
yvrL	yvrI-YvrHa	1
yisK	sigH	1
sigM	sigA	1
ylxX	sigM	1
ylxX	sigE	1
ylxX	sigA	1
ylxX	spoIIID	-1
appA.1	scoC	-1
appA.1	codY	-1
appA.1	tnrA	0
xpaC	sigW	1
ytbQ	birA	-1
comK	sigA	1
comK	spo0A	1
comK	rok	-1
comK	degU	1
comK	comK	1
comK	codY	-1
comK	abrB	-1
comK	med	1
iolB	sigA	1
iolB	iolR	-1
iolB	ccpA	-1
ykuN	sigA	1
ykuN	fur	-1
frr	stringent response	-1
patA	sigE	1
yrkN	yrkP	1
yraA	sigB	1
yraA	sigM	1
yraA	adhR	1
scr	sigA	1
sipW	sigA	1
sipW	sinR	-1
sipW	abrB	-1
sipW	spo0A	1
racA	sigH	1
racA	spo0A	1
yozE	sigE	1
lplC	ccpA	0
yfkH	sigB	1
yfkH	sigA	1
yxkO	sigB	1
pheS	sigA	1
pheS	T-box-PHE	1
thiN	sigE	1
ybfI	ybfI	0
spoVIF	sigK	1
spoVIF	gerR	1
spoVIF	gerE	1
ypbG	sigM	1
ypbG	sigK	1
ypbG	sigE	1
ypbG	spoIIID	-1
yesQ	yesS	0
yesQ	ccpA	0
murQ	codY	0
murQ	murR	0
stoA	sigE	1
stoA	sigG	1
stoA	spoIIID	-1
yqcI	sigK	1
tpiA	sigA	1
tpiA	cggR	-1
rsbU	sigB	1
rsbU	sigA	1
sspG	sigK	1
sspG	sigE	1
sspG	gerE	1
aprE	sigA	1
aprE	sinR	-1
aprE	scoC	-1
aprE	abrB	-1
aprE	tenA	1
aprE	degU	1
pcrB	lexA	-1
yufP	codY	-1
yqzC	spo0A	-1
yvcI	ccpA	-1
nagBA	sigA	1
nagBA	nagR	-1
nagBA	ccpA	-1
iseA	walR	-1
rpsNA	stringent response	-1
rplQ	stringent response	-1
epsN	sigA	1
epsN	sigH	1
epsN	sinR	-1
epsN	eAR	0
epsN	abrB	-1
dhbC	sigA	1
dhbC	fur	-1
dhbC	abrB	-1
yvmB	ccpA	-1
pstBB	phoP	1
trpS	T-box-TRP	1
ylbO	sigE	1
ylbO	spoIIID	1
groES	sigA	1
groES	hrcA	-1
yraD	sigG	1
purK	sigA	1
purK	purR	-1
purK	G-box-HXTX	1
purK	G-box-GUA	1
estA	abrB	-1
estA	spoIIID	1
yscB	sigD	1
yscB	abrB	-1
yxbG	sigB	1
ytnL	sigA	1
ytnL	ytlI	1
ytnL	cymR	-1
ytnL	spx	-1
sdhA	sigA	1
sdhA	fsrA	-1
sdhA	ccpA	-1
yvaB	sigG	1
yvaB	mhqR	-1
yvaB	spoVT	-1
rpsL	stringent response	-1
cdd	sigB	1
cdd	sigA	1
cdd	spo0A	1
leuD	sigA	1
leuD	tnrA	-1
leuD	fsrA	-1
leuD	codY	-1
leuD	ccpA	1
leuD	T-box-LEU	1
bacB	sigH	1
bacB	scoC	-1
bacB	codY	-1
bacB	abrB	-1
ylbQ	ccpA	0
yutH	sigE	1
yutH	sigF	1
yutH	spoIIID	-1
yvrE	sigB	1
yvrO	comK	1
yvrO	abrB	-1
cspD	ccpA	0
adaA	sigA	1
adaA	adaA	1
cwlS	sigH	1
cwlS	sigD	1
cwlS	ccpA	-1
cwlS	abrB	-1
cwlS	abh	-1
argJ	sigA	1
argJ	ahrC	-1
argJ	abrB	1
argJ	tnrA	0
yteU	rmgR	0
leuB	sigA	1
leuB	tnrA	-1
leuB	codY	-1
leuB	ccpA	1
leuB	T-box-LEU	1
yuxK	sigA	1
yuxK	codY	0
dctP	sigA	1
dctP	fsrA	-1
dctP	ccpA	-1
dctP	dctR	1
ywaC	sigW	1
ywaC	sigM	1
sigL	ccpA	-1
abnB	sigH	1
