aero_1,aero_2,aero_3,nit_1,nit_2,nit_3,ferm_1,ferm_2,ferm_3
new_1_148,8.7476,8.0029,8.3097,11.1981,11.352,11.196,10.022,10.8001,11.3744
new_24_297_c,9.6815,8.6043,9.4189,9.4186,9.08,9.2562,9.1251,8.9612,9.6208
new_150_409,15.2066,13.2428,13.7726,14.2142,14.5831,13.9221,14.7824,13.9443,14.1339
new_299_1067_c,7.7941,7.7105,7.4022,8.8587,8.1532,8.2997,8.5191,7.8614,8.8751
BSU00010,14.1303,12.9699,13.3394,13.1165,13.6549,13.168,13.3742,12.9763,13.3661
new_1751_1938,14.2902,13.0103,13.4119,13.1489,13.4289,13.0353,13.4971,12.9024,13.2471
BSU00020,13.8524,12.8491,13.4542,12.7242,13.0324,12.6893,12.8163,12.764,13.0081
BSU00030,14.1412,12.0304,13.2308,12.9655,13.0698,12.7826,12.8344,12.7768,13.3919
BSU00040,13.9703,12.953,13.8609,13.4758,13.6529,13.2784,13.2883,13.4001,13.7718
BSU00050,14.1025,13.0546,13.9977,13.6068,13.6897,13.4472,13.6102,13.4701,13.7379
BSU00060,13.9645,13.066,13.9117,12.9767,13.2239,12.9398,12.6527,12.8323,13.478
new_6784_6993,13.6234,12.5952,13.3439,12.7035,12.691,12.0416,12.4262,12.4848,12.6316
BSU00070,14.2665,13.3461,14.1828,13.3141,13.6097,13.285,13.2711,13.3674,13.7601
new_9529_9614,15.0873,12.127,13.0128,13.9563,14.4877,13.3678,13.7153,13.4296,14.1366
new_14811_15868,11.2846,8.0972,8.6699,9.4442,9.1867,9.184,8.8724,8.6041,10.0224
BSU00080,7.3673,7.2784,7.0311,9.7156,8.4004,9.4585,9.483,7.8632,9.8575
BSU00090,15.4,14.4257,14.9484,14.2503,14.6942,14.0794,14.5398,14.014,14.0731
new_17238_17833_c,7.6107,7.6669,7.7722,8.4289,8.0684,8.2309,7.8156,7.4246,8.5662
new_17453_17533,14.3101,12.7137,13.712,13.739,14.415,13.7542,14.1893,14.1154,13.7967
BSU00100,14.3721,13.2038,13.8214,13.6171,14.2568,13.745,14.1927,14.2269,14.0584
new_18866_18974,13.6646,12.6971,13.4144,13.6409,13.915,13.6563,13.9918,13.4798,13.8525
new_18976_19061,15.0885,14.1092,14.5198,14.3128,14.7861,14.3321,14.3296,14.3879,14.4053
BSU00110,14.9622,14.252,14.9306,14.2675,14.689,14.1029,14.2575,14.3126,14.2332
new_19194_19923_c,7.4101,7.6632,7.1546,8.5173,7.6632,7.6329,8.1122,7.4896,8.1511
BSU00120,15.2386,14.6807,15.2369,14.561,14.8252,14.4046,14.4729,14.6585,14.7242
BSU_misc_RNA_1,15.2385,14.5823,15.298,14.6388,14.5051,14.3422,14.5436,14.6045,14.6394
BSU00130,13.6273,12.9336,13.8172,12.304,12.4724,12.131,11.9612,12.5727,12.2976
new_22452_22529,11.1185,8.4083,9.1708,9.1272,9.3088,9.0196,8.7794,7.8798,9.6436
BSU00140,12.2244,11.1921,11.9817,11.0194,11.433,10.9954,10.8735,10.9911,11.4894
new_22531_23167,9.7223,7.9394,8.1863,9.0828,8.4899,8.7132,8.8194,7.7353,9.2673
BSU00150,12.7554,11.5355,12.6223,11.5799,12.0522,11.7847,11.6082,11.4965,12.1134
BSU00160,7.8461,7.427,7.6889,11.6183,10.0245,11.1773,11.4958,9.1579,11.2612
BSU00170,7.9542,7.6829,7.9258,7.6325,7.5439,7.6481,7.6637,7.4008,7.8187
new_25655_25851,11.5018,10.1814,10.9693,10.611,11.0234,10.8266,10.6912,10.2542,11.0292
BSU00180,10.9948,9.413,10.2029,9.9723,10.1494,9.8183,9.9525,9.4303,9.9403
new_26383_26532,15.5149,14.7619,15.2312,15.7355,15.7616,15.1639,14.9401,15.237,15.7427
BSU_misc_RNA_2,16.0678,14.794,15.4509,16.0184,16.4028,15.1776,14.9968,15.3587,15.6953
new_26636_26731,15.1536,14.0491,14.2475,14.8185,15.1628,14.2568,14.2617,14.0823,14.4673
BSU00190,12.8233,11.7305,12.688,11.944,12.1643,12.0368,12.02,11.69,12.288
BSU00200,14.8555,13.537,14.4333,13.8577,13.9214,13.7118,14.0286,13.6598,13.9863
