M0t45_1,M0t45_2,M0t45_3,M0t90_1,M0t90_2,M0t90_3,M40t45_1,M40t45_2,M40t45_3,M40t90_1,M40t90_2,M40t90_3
new_1_148,8.0519,8.9621,7.5701,7.6428,8.668,7.9233,8.0246,8.6192,7.5698,7.5934,8.6448,7.6372
new_24_297_c,9.66,9.9002,9.6591,8.2354,8.9786,8.5318,8.7004,9.7216,9.6439,8.136,8.7811,8.8194
new_150_409,13.9923,14.268,14.7197,12.0215,13.8126,12.5554,13.5814,13.5479,14.8926,12.1397,13.6378,12.984
new_299_1067_c,7.3909,8.5395,7.5363,7.308,7.3693,7.0994,7.3892,7.8556,7.316,7.1063,7.0734,7.0709
BSU00010,13.3034,13.4643,13.9349,11.407,13.0626,11.7299,13.0226,12.7173,14.2002,11.2709,12.5871,11.9394
new_1751_1938,13.6165,13.7137,14.013,11.2951,12.8346,11.8534,13.5611,12.8907,14.1422,11.2326,12.5398,12.121
BSU00020,13.2826,13.7035,13.7474,10.8633,12.2445,11.0947,13.2381,12.5212,13.951,10.9694,11.943,11.4869
BSU00030,12.5954,13.0814,12.856,9.7537,11.12,10.5227,12.4698,11.5211,13.1874,9.8531,10.9718,10.6877
BSU00040,13.4732,13.7397,13.7069,11.8458,12.8464,12.4442,13.3911,13.5036,13.9555,12.1944,13.103,13.0553
BSU00050,13.4713,13.8947,13.8932,11.8195,13.0239,12.3989,13.3446,13.5876,14.0891,12.1594,13.1106,12.994
BSU00060,13.4143,13.8099,13.633,11.6644,12.6,12.2022,13.3464,13.4392,13.7685,12.273,12.6913,12.8073
new_6784_6993,12.4417,13.0675,12.9899,11.309,11.5592,11.0496,12.3755,12.5334,13.1389,11.499,12.0198,12.2239
BSU00070,13.4051,14.2626,13.8425,11.3979,12.7525,11.8854,13.2628,13.1124,13.9064,11.8429,12.839,12.4871
new_9529_9614,13.518,14.3274,13.4654,10.6521,11.4535,9.9674,12.0553,11.4619,13.741,10.8625,12.007,11.2322
new_14811_15868,8.6347,9.6766,8.723,7.4574,7.2258,7.0163,8.2082,7.3794,9.0776,7.1277,7.0977,6.9387
BSU00080,7.2181,8.4066,6.934,7.431,6.935,7.1115,7.4615,7.4049,6.8203,7.1766,6.9681,7.1084
BSU00090,15.6342,15.0175,15.5441,13.7252,14.185,14.1704,15.5578,15.7967,15.7142,14.3441,14.4646,14.7433
new_17238_17833_c,7.4471,9.0442,7.4982,7.6402,7.7906,7.459,7.8041,7.6741,7.4001,7.3766,7.5794,7.5113
new_17453_17533,13.6866,13.5003,14.0857,10.1489,12.0816,10.4624,12.8553,10.0908,14.4427,10.5139,11.9601,10.9277
