LBexp_1,LBexp_2,LBexp_3,BT_1,BT_2,B36_1,B36_2,B60_1,B60_2
new_1_148,7.5155,7.2789,7.7432,8.2543,8.3106,7.7339,8.1906,7.681,8.7175
new_24_297_c,9.4848,9.3812,9.5933,11.4407,10.2625,10.4566,10.0891,10.3528,10.8749
new_150_409,15.2983,14.7772,14.6035,12.0018,10.479,11.9048,11.8307,13.1151,13.4638
new_299_1067_c,7.6081,7.8419,7.9202,9.9995,8.9963,9.0481,9.0622,9.8578,10.4442
BSU00010,14.3735,13.6524,13.4978,10.6559,10.2755,11.6304,11.8157,12.115,12.2289
new_1751_1938,14.5806,13.8464,13.816,11.2954,10.9986,12.1905,12.0928,12.2412,12.2007
BSU00020,14.295,13.4732,13.3349,11.1,10.6855,11.8545,11.6844,11.5758,11.1918
BSU00030,14.1569,13.3851,13.1908,10.6257,10.0412,11.2859,10.9891,11.1286,11.543
BSU00040,14.0873,13.8232,13.7972,12.2291,11.4839,12.797,12.5828,13.0072,12.8943
BSU00050,14.1905,13.9541,13.8688,12.4872,11.448,13.1558,12.8443,13.2017,13.1424
BSU00060,13.9702,13.7521,13.6273,12.1622,11.7134,12.9718,12.6506,12.5812,12.2348
new_6784_6993,13.8178,13.3353,13.4236,11.8038,11.0686,12.8855,12.6124,12.5683,12.4688
BSU00070,14.3501,14.0148,14.0746,12.7317,12.1346,13.2936,13.0109,13.209,13.1304
new_9529_9614,15.6481,15.5927,15.233,11.3568,11.3545,11.2149,10.9062,12.0159,12.747
new_14811_15868,10.2138,9.7853,9.4788,7.7366,7.547,8.3299,8.1791,8.1755,8.6881
BSU00080,7.1909,7.0049,7.5162,8.7653,8.4611,7.8013,8.089,7.8235,8.312
BSU00090,15.6056,15.4023,15.2294,12.8836,12.3748,12.8941,13.1294,12.7048,13.0007
new_17238_17833_c,7.6713,7.6213,7.8204,9.0153,8.5059,8.5363,8.7137,8.6888,10.3285
new_17453_17533,15.1136,14.847,14.3697,9.5584,8.8717,10.2705,10.6391,11.4709,11.8976
BSU00100,14.9702,14.7681,14.4302,10.9908,10.4088,11.3958,11.7401,11.9631,12.1002
new_18866_18974,13.5847,13.9647,13.5009,11.4889,11.0767,12.0396,12.3735,12.4074,12.5751
new_18976_19061,14.7077,14.9988,14.8322,12.5069,12.3228,13.1779,13.1436,12.7608,13.9986
BSU00110,14.6051,14.8497,14.7027,13.2047,12.7808,14.1142,14.1161,13.4305,14.0099
new_19194_19923_c,7.3693,7.371,7.5465,9.3355,8.9906,8.3733,8.2538,7.9381,8.4361
BSU00120,14.7726,14.9377,14.8074,14.2511,13.8947,14.4959,14.4235,14.1509,13.9336
BSU_misc_RNA_1,14.8926,14.931,14.8324,14.0244,12.9507,13.4501,13.052,13.8239,13.9154
BSU00130,13.8404,13.9784,14.0338,12.3235,11.8537,11.065,10.8926,10.5638,10.0515
new_22452_22529,9.923,10.0158,9.1642,8.3444,7.0058,8.0375,8.1544,8.3344,9.4247
BSU00140,12.4894,12.4406,12.2317,9.6935,9.2432,10.3683,10.3353,10.2305,10.3774
new_22531_23167,8.4888,8.489,8.3576,7.9311,7.7756,7.9449,8.07,8.164,8.8658
BSU00150,12.9231,12.8226,12.4665,9.7315,9.3361,10.3044,10.1285,10.3323,10.7373
BSU00160,7.3307,7.2585,7.3188,13.386,12.7486,13.2703,13.2737,12.1573,12.354
BSU00170,7.636,7.4331,7.5371,8.4914,8.0288,9.3445,8.9982,9.555,10.6597
new_25655_25851,11.1492,11.1661,10.3351,8.9593,8.762,8.8795,8.8602,9.1412,9.623
BSU00180,10.3308,10.5199,9.5726,8.7417,8.2699,8.5154,8.5084,8.7333,9.4907
new_26383_26532,14.7167,14.7515,14.2323,16.0307,15.9546,16.4233,16.2411,16.3173,16.4489
BSU_misc_RNA_2,14.6414,14.5991,14.2535,16.1091,15.2884,16.4466,16.1711,16.4142,16.444
new_26636_26731,14.3791,14.4444,14.2053,15.1033,14.7647,16.3781,16.0056,16.3515,16.3584
BSU00190,13.2991,12.944,12.7901,11.8488,11.2254,12.3939,12.4728,12.4766,12.6018
BSU00200,15.0577,14.7562,14.4958,13.1975,12.4598,13.9373,13.8074,13.7057,13.8761
BSU00210,13.8968,13.4034,13.3043,12.2966,11.9177,12.9447,12.6377,12.2869,12.2554
BSU00220,12.6192,12.5135,12.402,11.587,11.2668,12.1236,11.1133,11.4284,11.1189
BSU00230,12.0044,11.9025,11.6707,12.9665,12.1208,12.1401,11.7234,11.8747,11.8899
new_30076_30278,16.4151,16.3564,15.6851,13.4866,12.4283,12.6125,12.3089,12.6065,12.6991
new_35104_35236,13.0549,13.059,12.1299,12.2004,11.105,10.9497,10.9045,11.0706,10.4924
new_35356_35458,12.3976,12.052,11.4112,10.1522,9.1522,9.6411,9.5555,9.5961,10.0793
BSU00240,12.1169,11.8474,11.1761,13.9497,13.4443,12.8331,12.3517,12.6534,12.4266
BSU00250,12.1286,12.3048,11.738,11.1123,10.4826,10.5136,10.6866,11.8038,11.9122
BSU00260,12.1038,12.0978,11.7441,10.8213,10.2142,11.4603,11.423,11.7378,11.9203
new_37639_37719,12.2852,11.6554,11.7991,10.6349,10.0091,11.3764,11.3105,11.6077,11.8266
BSU00270,12.4828,12.0069,11.7919,9.8688,9.3411,11.2722,11.1974,11.7356,11.7588
BSU00280,12.6527,11.9974,11.8278,10.0319,9.5535,11.3726,11.2081,11.5628,11.5678
