SMMPr_1,SMMPr_2,SMMPr_3,LoTm_1,LoTm_2,LoTm_3,BMM_1,BMM_2,BMM_3,Cold_1,Cold_2,Cold_3
new_1_148,10.1367,10.2576,10.4293,8.2314,7.8111,7.6734,8.0429,7.8629,8.2447,7.9409,8.2902,8.1572
new_24_297_c,8.8066,8.9542,8.8893,11.396,11.6229,11.5248,8.8829,9.1896,9.4224,10.835,11.0925,10.5503
new_150_409,13.8677,14.0603,14.2713,13.3666,13.2679,12.9242,14.6142,14.6116,15.1244,14.368,14.5999,13.8947
new_299_1067_c,7.6437,7.7581,7.7379,12.065,11.9432,12.2959,7.0157,7.2041,7.9063,7.4129,7.8732,7.8588
BSU00010,13.0353,13.022,13.053,12.1873,11.7382,11.8195,13.7045,13.6631,13.6438,13.1183,12.7855,12.4454
new_1751_1938,12.8024,12.9463,13.2067,12.3042,12.0861,11.9996,13.6865,13.687,13.7815,13.2395,12.7705,12.3662
BSU00020,12.3529,12.5404,12.5252,11.7611,11.4669,11.4014,13.4268,13.2746,13.2731,12.7163,12.1114,11.6574
BSU00030,12.6878,12.5694,12.6238,12.2501,12.0679,12.1507,13.4652,13.4882,13.6258,14.5741,13.6201,13.1378
BSU00040,13.0291,12.9671,13.0747,13.7196,13.4264,13.3949,13.6159,13.4013,13.5723,15.2183,14.7514,14.1416
BSU00050,13.0739,12.9569,13.0589,13.8193,13.4619,13.6376,13.5844,13.4684,13.6779,15.2127,14.8602,14.2783
BSU00060,12.8443,12.8837,12.9879,13.3453,12.9425,12.9715,13.3898,13.2215,13.3819,14.7676,14.0943,13.6331
new_6784_6993,12.6189,12.7665,12.6363,13.2482,13.2264,13.3823,13.2992,13.0047,13.3782,14.4589,14.4343,13.0371
BSU00070,13.2006,13.2537,13.4666,14.0897,13.7741,13.814,13.7778,13.5727,13.6172,15.3047,14.7997,14.2833
new_9529_9614,14.4339,14.0895,14.0931,13.2072,12.8913,12.8223,15.4714,15.1501,15.326,14.977,14.7772,14.3598
new_14811_15868,9.1581,8.686,8.9543,8.6976,8.4257,8.2454,10.0477,10.0026,10.4838,11.9668,11.5816,11.1651
BSU00080,7.529,7.4973,7.592,7.8465,8.201,8.1223,7.0066,7.1375,7.4784,7.1535,7.4304,7.5147
BSU00090,14.0319,14.0935,14.3396,13.7419,13.2715,13.6009,15.0718,15.0385,14.9093,12.9349,12.2261,11.7891
new_17238_17833_c,7.7987,7.8358,8.1311,8.9952,10.5942,8.9956,7.6434,8.0798,8.4073,7.721,7.9506,8.5932
new_17453_17533,13.6749,13.321,13.4074,11.9359,11.2871,11.7682,14.6145,14.3365,14.2443,15.0184,14.105,13.5218
BSU00100,13.2454,13.3579,13.5701,11.9333,11.3978,11.581,14.2583,14.1861,14.0701,14.5889,13.7259,13.312
new_18866_18974,13.0084,12.9691,13.283,12.1276,11.4777,11.5578,13.901,13.671,13.8948,13.918,13.2778,13.295
new_18976_19061,14.6702,14.6018,14.8901,12.4178,12.8451,13.6603,15.497,15.3197,14.9961,14.4785,13.7099,13.4254
BSU00110,14.5981,14.5773,14.8346,14.2113,14.0465,14.0983,15.2035,15.0506,15.0055,14.7723,14.1676,13.7144
new_19194_19923_c,7.1916,7.2988,7.3012,8.2396,8.4914,8.6742,6.7412,6.9244,7.4261,6.9779,7.3741,7.389
BSU00120,14.607,14.6003,14.9672,14.4652,14.2107,14.1325,15.2145,15.1451,15.1448,14.9217,14.3145,13.8822
BSU_misc_RNA_1,13.7909,14.0691,14.3591,13.5119,13.3939,13.2811,14.5347,14.4298,14.4024,13.9744,13.1459,13.0037
BSU00130,12.0612,12.2445,12.5614,11.7639,11.5913,11.4293,13.0958,12.9888,12.8833,12.9924,12.189,11.9062
new_22452_22529,7.9302,7.804,7.7794,8.3744,8.1133,8.2161,10.7502,10.4165,10.5716,12.1124,11.844,11.1918
BSU00140,10.7544,10.7095,11.0858,11.8845,11.4135,11.3484,11.4388,11.2115,11.3755,13.1023,12.6277,12.3099
new_22531_23167,7.8753,7.7713,7.7664,8.1395,7.9762,8.1259,9.2568,9.239,9.6473,10.5402,10.5853,10.3168
