LBexp_1,LBexp_2,LBexp_3,LBGexp_1,LBGexp_2,LBGexp_3,G135_1,G135_3,G150_1,G150_2,G150_3,G180_1,G180_2,G180_3
new_1_148,7.5155,7.2789,7.7432,7.4261,7.7452,7.6156,9.1461,8.1559,8.371,7.6678,10.2264,9.4736,7.6741,7.981
new_24_297_c,9.4848,9.3812,9.5933,9.0903,9.3353,9.248,10.0573,9.0672,9.5113,9.5411,10.297,9.8154,9.5443,9.4639
new_150_409,15.2983,14.7772,14.6035,14.6136,14.708,14.6907,15.2363,12.8834,15.0939,15.3786,15.5985,15.3267,15.3192,14.8597
new_299_1067_c,7.6081,7.8419,7.9202,8.0946,7.4601,7.7219,8.4106,9.1456,7.8792,7.5596,8.2992,7.7234,7.6881,9.275
BSU00010,14.3735,13.6524,13.4978,14.1589,13.7993,13.9371,14.2828,12.3514,14.1114,14.362,14.5082,14.1651,14.5084,13.4558
new_1751_1938,14.5806,13.8464,13.816,14.1105,13.363,14.2133,14.6561,12.7004,14.473,14.8864,15.0007,14.404,14.7225,14.0221
BSU00020,14.295,13.4732,13.3349,13.933,13.1715,13.9566,14.3712,12.4137,14.0378,14.608,14.6783,14.2559,14.529,13.4505
BSU00030,14.1569,13.3851,13.1908,13.8624,14.2321,13.4297,14.0732,12.1434,13.7546,14.1466,14.3057,13.9536,14.2476,13.2949
BSU00040,14.0873,13.8232,13.7972,14.032,13.9726,13.7919,14.3854,12.5179,13.8425,14.4899,14.4764,14.2471,14.6118,13.313
BSU00050,14.1905,13.9541,13.8688,14.1654,13.9043,13.8504,14.5228,12.6321,14.1539,14.6977,14.5416,14.489,14.7785,13.692
BSU00060,13.9702,13.7521,13.6273,14.0272,13.686,14.0328,14.4878,12.7039,13.9323,14.3939,14.4381,14.1062,14.5157,13.3569
new_6784_6993,13.8178,13.3353,13.4236,13.6833,13.5932,13.8128,13.7591,12.0639,13.4203,14.057,14.1464,13.7715,14.0515,13.2482
BSU00070,14.3501,14.0148,14.0746,14.4847,14.3549,14.323,14.7089,12.81,14.1951,14.6516,14.6246,14.3936,14.6848,13.6889
new_9529_9614,15.6481,15.5927,15.233,15.4127,15.9096,15.9939,14.905,13.3582,14.6706,15.5984,15.2693,15.2683,15.5575,15.0252
new_14811_15868,10.2138,9.7853,9.4788,9.7536,7.9008,9.5692,11.6136,10.1175,10.3522,12.033,11.0243,11.3621,12.1318,11.6425
BSU00080,7.1909,7.0049,7.5162,7.1834,7.5476,7.3012,7.985,7.8207,7.9772,7.0801,8.9292,8.1105,7.1694,7.3508
BSU00090,15.6056,15.4023,15.2294,15.3453,16.1545,15.515,14.9713,13.2034,14.8241,15.0274,15.2386,15.0221,15.2305,14.3142
new_17238_17833_c,7.6713,7.6213,7.8204,7.4687,7.5845,7.5242,8.9138,8.1753,8.3505,7.6953,8.6531,8.2545,7.3634,8.1447
