SMMPr_1,SMMPr_2,SMMPr_3,HiTm_1,HiTm_2,HiTm_3,BMM_1,BMM_2,BMM_3,Heat_1,Heat_2,Heat_3
new_1_148,10.1367,10.2576,10.4293,7.3792,7.4001,7.5745,8.0429,7.8629,8.2447,8.1375,7.6742,8.1037
new_24_297_c,8.8066,8.9542,8.8893,8.6092,9.1237,9.503,8.8829,9.1896,9.4224,10.1762,9.5571,9.9143
new_150_409,13.8677,14.0603,14.2713,11.3126,13.9852,14.2865,14.6142,14.6116,15.1244,16.2854,15.726,15.9868
new_299_1067_c,7.6437,7.7581,7.7379,7.7874,8.0185,8.0721,7.0157,7.2041,7.9063,7.8387,7.2047,7.9174
BSU00010,13.0353,13.022,13.053,12.4855,13.2962,13.311,13.7045,13.6631,13.6438,14.7696,14.3358,14.3953
new_1751_1938,12.8024,12.9463,13.2067,12.9507,13.3121,13.4004,13.6865,13.687,13.7815,14.9358,14.6419,14.6992
BSU00020,12.3529,12.5404,12.5252,12.934,12.9075,12.8155,13.4268,13.2746,13.2731,14.4846,14.1041,14.2837
BSU00030,12.6878,12.5694,12.6238,10.7816,12.6285,12.7486,13.4652,13.4882,13.6258,13.8984,14.0091,13.5983
BSU00040,13.0291,12.9671,13.0747,12.154,13.2136,13.1787,13.6159,13.4013,13.5723,14.1447,13.7598,13.6959
BSU00050,13.0739,12.9569,13.0589,12.3975,13.205,13.1521,13.5844,13.4684,13.6779,14.2539,13.8806,14.1586
BSU00060,12.8443,12.8837,12.9879,13.1607,13.0706,13.0075,13.3898,13.2215,13.3819,13.6889,13.5114,13.1276
new_6784_6993,12.6189,12.7665,12.6363,12.619,12.7977,12.6875,13.2992,13.0047,13.3782,13.9259,13.5264,13.7364
BSU00070,13.2006,13.2537,13.4666,13.5857,13.4583,13.304,13.7778,13.5727,13.6172,14.0645,13.8335,13.7516
new_9529_9614,14.4339,14.0895,14.0931,12.7509,14.7557,15.1033,15.4714,15.1501,15.326,15.6777,15.2348,15.1403
new_14811_15868,9.1581,8.686,8.9543,10.2169,10.7576,11.0529,10.0477,10.0026,10.4838,11.7142,11.2815,11.3923
BSU00080,7.529,7.4973,7.592,8.0747,7.323,7.507,7.0066,7.1375,7.4784,7.783,7.2791,7.7921
BSU00090,14.0319,14.0935,14.3396,14.2609,14.4304,14.6241,15.0718,15.0385,14.9093,15.5754,15.2167,14.9883
new_17238_17833_c,7.7987,7.8358,8.1311,12.59,8.5268,8.4367,7.6434,8.0798,8.4073,9.6775,9.84,10.1831
new_17453_17533,13.6749,13.321,13.4074,9.333,13.322,13.4929,14.6145,14.3365,14.2443,14.1039,13.5709,13.3986
BSU00100,13.2454,13.3579,13.5701,13.0579,13.2325,13.127,14.2583,14.1861,14.0701,13.9481,13.531,13.3557
new_18866_18974,13.0084,12.9691,13.283,12.4967,12.5478,12.3003,13.901,13.671,13.8948,13.387,13.3097,13.2309
new_18976_19061,14.6702,14.6018,14.8901,13.1572,14.5038,14.9402,15.497,15.3197,14.9961,14.6566,14.612,13.9257
BSU00110,14.5981,14.5773,14.8346,14.1264,14.4243,14.7584,15.2035,15.0506,15.0055,14.8768,14.7647,14.3749
new_19194_19923_c,7.1916,7.2988,7.3012,7.9044,7.5466,7.5312,6.7412,6.9244,7.4261,7.5047,7.0335,7.6011
BSU00120,14.607,14.6003,14.9672,14.8735,14.4983,14.8519,15.2145,15.1451,15.1448,15.1012,14.7767,14.5702
BSU_misc_RNA_1,13.7909,14.0691,14.3591,13.9918,14.3157,14.5142,14.5347,14.4298,14.4024,14.4979,14.5587,13.8728
BSU00130,12.0612,12.2445,12.5614,12.4541,12.0483,11.9466,13.0958,12.9888,12.8833,12.7789,12.6929,12.4172
new_22452_22529,7.9302,7.804,7.7794,7.3204,9.4191,10.1703,10.7502,10.4165,10.5716,11.2574,10.6633,10.8084
BSU00140,10.7544,10.7095,11.0858,10.4304,10.7213,10.6125,11.4388,11.2115,11.3755,11.4215,10.9898,10.9821
new_22531_23167,7.8753,7.7713,7.7664,7.512,7.7512,8.0348,9.2568,9.239,9.6473,10.6053,10.1837,10.2064
BSU00150,11.279,11.19,11.4223,9.4646,10.9116,10.9706,12.0224,11.8361,12.1274,12.0254,11.6687,11.6715
BSU00160,10.2011,10.1057,9.652,9.5484,8.0939,8.1567,7.3683,7.348,8.4712,10.8325,10.984,10.9557
BSU00170,7.3528,7.5992,7.7829,12.2231,8.5185,8.5635,7.7867,7.9522,9.7528,11.6314,11.7064,11.9426
new_25655_25851,11.2635,10.8518,10.9893,10.1839,11.2024,11.4262,11.03,10.8548,11.1803,11.9388,11.7181,11.6113
BSU00180,10.6838,10.1824,10.182,8.8856,10.7268,11.0492,10.5911,10.3319,10.5666,11.6409,11.4592,11.0692
new_26383_26532,14.7232,14.9734,15.1091,15.4357,15.0649,15.2602,14.1428,14.2048,14.0694,14.7377,14.9024,13.3943
BSU_misc_RNA_2,14.627,14.8554,15.253,15.4759,15.1914,15.4074,14.0349,14.2063,14.3433,15.0936,14.8619,14.1394
new_26636_26731,14.2494,14.4836,15.0233,15.3872,15.0537,15.3308,13.9466,13.8378,14.0479,15.157,14.981,14.4375
BSU00190,11.8322,11.7525,11.8856,11.4355,12.4057,12.296,12.5298,12.279,12.2752,12.9916,12.8351,12.505
BSU00200,13.9514,14.0892,14.1359,13.0959,13.9168,14.0092,14.1988,14.0189,13.9853,14.8622,14.6328,14.2763
BSU00210,12.4043,12.6726,12.6988,10.9811,11.9966,12.1566,13.0297,12.8301,13.0669,13.671,13.4192,13.4897
BSU00220,11.461,11.5149,11.637,10.1926,11.0934,11.3963,12.3865,11.8696,12.1006,12.8714,12.7853,12.7187
BSU00230,10.8847,10.7204,10.8873,9.1643,10.2339,10.4219,11.7275,11.4322,11.7464,12.3019,12.0575,12.0309
new_30076_30278,14.7036,14.3616,14.4106,12.9326,14.9644,15.4075,16.2904,16.1263,16.303,16.3284,15.4382,15.4316
new_35104_35236,11.6075,11.202,11.3024,13.1085,13.1662,13.2001,13.6562,13.192,12.9416,13.9457,13.4058,12.9729
new_35356_35458,10.5632,10.1574,10.3543,11.0755,11.8576,12.2464,13.087,12.8296,13.2985,13.8935,13.2718,13.5379
BSU00240,11.2123,11.0858,11.0511,11.4473,11.8594,12.4542,12.8841,12.7584,13.3617,13.8509,13.3053,13.4693
BSU00250,12.8261,12.7169,13.1048,11.5306,12.1353,12.3884,12.0449,11.8465,12.136,12.7565,12.5078,12.616
BSU00260,12.24,12.3847,12.648,11.4152,11.8604,12.0706,11.7925,11.5151,11.6415,12.4993,12.1891,12.2233
new_37639_37719,11.8894,11.9011,12.057,11.052,11.8106,11.9733,11.7322,11.5778,11.6393,12.2676,12.1551,12.3592
BSU00270,11.3916,11.3309,11.3605,10.5675,11.93,11.8264,11.7918,11.5673,11.5495,12.5836,12.3394,12.2476
BSU00280,11.2652,11.2057,11.3374,11.4226,11.8814,11.774,11.8026,11.6679,11.6097,12.6805,12.3634,12.202
BSU00290,12.5634,12.6164,13.0465,12.9656,13.3682,13.3493,12.9856,12.8699,13.2988,14.2673,13.8719,14.0901
BSU00300,13.181,13.3048,13.7358,13.8872,13.9261,14.0276,13.6151,13.4217,13.7976,14.857,14.658,14.6016
BSU00310,12.8646,12.8441,13.0135,12.8097,13.1652,13.2741,13.2547,12.9886,13.3722,14.1892,13.7562,13.8065
BSU00320,13.2847,12.9634,13.2136,12.6964,13.2393,13.393,13.5738,13.4397,13.6695,14.1908,13.6913,13.7196
BSU00330,12.5011,12.3615,12.5546,12.4797,12.647,12.8448,13.0579,12.6187,13.2156,14.1803,13.9065,13.7278
BSU00340,10.9206,10.9057,10.8675,10.298,10.9489,10.8967,11.9559,11.6935,11.9011,12.5492,11.9836,11.9375
BSU00350,11.413,11.3317,11.4974,10.9615,11.6139,11.5572,12.3613,12.1191,12.1959,12.5532,12.1298,11.9669
BSU00360,11.1658,11.1356,11.4301,11.1053,11.2725,11.2595,12.127,11.8034,11.8624,12.2166,11.9934,11.6579
BSU00370,13.17,13.1728,13.383,12.9883,13.7307,14.1362,13.2917,13.3409,13.9374,13.5008,13.2665,13.2949
new_45224_45399_c,8.3524,8.3134,8.6195,8.2269,8.6352,9.3513,9.6052,9.3077,9.9011,9.7653,9.3586,9.9857
new_45524_45632,12.7438,13.0147,12.7905,10.7916,13.6181,13.7942,13.6785,13.5672,13.7004,14.4568,14.1853,14.1075
BSU00380,12.6395,12.7749,12.8529,13.5287,13.5074,13.3529,13.5333,13.2927,13.419,14.4397,14.1927,14.052
new_47673_50019_c,10.6499,10.8547,11.0052,8.5694,8.6374,9.1833,8.7473,8.6089,9.3306,10.9498,10.6041,10.8849
BSU00390,10.4501,10.7004,10.8304,11.8584,11.6906,11.7386,11.8698,11.5567,11.6857,12.83,12.6057,12.6828
new_48474_48554,10.6259,10.5243,11.0074,11.5354,11.5528,11.7954,11.6023,11.5651,12.0333,13.093,12.6438,12.8147
BSU00400,12.6871,12.3326,12.4401,11.2102,12.8892,13.3677,13.7346,13.3991,13.4117,13.2712,12.8185,12.6516
new_49987_50086,11.7681,11.5209,11.2456,8.6219,10.777,11.1764,12.8958,12.7868,12.4804,12.5976,12.1482,11.5587
BSU00410,10.7793,10.4029,10.4401,8.9924,10.1707,10.0064,12.0143,11.6116,11.6389,11.4134,11.2853,10.7418
BSU00420,10.2921,10.1256,10.2272,9.3698,10.2311,10.086,11.2137,10.9608,11.0659,11.1437,10.6458,10.4841
new_51558_51679,9.8597,10.1175,10.4758,7.2709,7.1068,7.2648,7.8775,7.6945,7.9772,8.3504,7.6547,8.1309
BSU00430,9.0718,9.101,9.7987,7.4044,7.2413,7.3576,7.2973,7.2638,7.5683,7.7995,7.1284,7.6708
new_52649_52719,9.6431,9.5613,9.9627,7.6808,7.3999,7.4733,6.7318,6.9994,7.4865,7.8852,6.9697,8.0346
BSU00440,14.4348,15.0029,15.0573,14.995,14.6235,14.8769,14.2748,13.9798,14.0317,14.3006,14.0896,13.2354
new_53111_53182,8.6207,8.6487,8.9927,8.3959,8.116,8.3776,9.2566,9.0781,9.6629,10.6345,9.6838,10.1156
BSU00450,9.5111,9.1803,9.5163,8.4753,8.1754,8.5603,9.2542,8.9962,9.3199,10.4252,9.5033,9.6068
new_53363_55717_c,8.3319,7.9411,7.7447,7.532,7.429,7.4452,6.7653,7.0034,7.6456,7.761,7.1377,7.6775
BSU00460,11.8571,11.918,11.8774,11.1449,11.9068,11.9527,12.709,12.4889,12.6367,13.15,12.8905,12.6583
BSU00470,12.8225,12.5305,12.654,12.0656,12.5648,12.6606,13.5041,13.3741,13.5811,13.4703,13.2189,12.9489
BSU00480,13.4888,13.6235,14.0108,13.2684,13.5412,13.655,14.1033,13.8042,14.1034,14.0744,13.8696,13.5584
new_55707_55815,9.0528,9.1325,9.3971,9.125,9.2583,9.7031,10.0313,10.0198,10.3528,10.5474,10.1596,10.4331
BSU00490,16.2709,16.0808,16.3619,16.2146,15.4471,16.0455,14.5693,14.3748,14.7158,13.9749,13.7773,13.6
new_56193_56304,11.1844,11.3922,11.3393,10.0834,8.9608,9.781,9.2959,9.1465,9.2067,8.6923,8.2794,8.7345
BSU00500,13.5991,13.7137,13.7837,13.0547,14.3141,13.9834,14.7379,14.524,14.4565,15.1093,14.7109,14.5998
BSU00510,13.4667,13.5254,13.768,14.2365,14.2393,13.9314,14.4623,14.1953,14.3559,15.0229,14.6326,14.568
BSU00520,13.5008,13.5735,13.6331,15.9943,14.5359,14.2437,14.4733,14.3014,14.7571,15.9029,15.5868,15.4296
BSU00530,11.5464,11.5531,11.828,12.3893,12.103,11.9279,12.6655,12.4963,12.6218,13.6137,13.6619,13.4712
BSU00540,11.7685,11.8385,11.9325,12.3986,12.2766,12.1795,12.713,12.5253,12.7383,13.6844,13.6246,13.484
new_60361_60429,11.6268,11.5512,11.7975,11.6755,11.9983,11.9793,12.6447,12.5114,12.7225,13.3844,13.5638,13.2351
BSU00550,11.2645,11.3041,11.5099,12.0107,11.8664,11.6259,12.3918,12.1977,12.4424,13.1134,13.1469,12.9061
new_64001_64098,11.5828,11.5759,11.5768,11.9634,11.924,11.6615,12.1056,11.9948,12.3505,12.9034,13.0483,12.8256
BSU00560,11.4996,11.3842,11.4147,11.8082,11.5941,11.5004,12.0152,11.856,12.0187,12.8394,12.85,12.6339
BSU00570,9.611,9.5665,9.6836,9.4109,10.2384,10.1077,10.6952,10.5953,11.0916,11.5857,11.465,11.2607
BSU00580,12.0598,12.118,12.4461,11.1817,11.8003,11.7687,13.1219,12.9013,12.896,12.9515,13.0217,12.784
BSU00590,12.2039,12.0984,12.492,11.8066,11.8545,11.7392,12.964,12.7939,12.9321,13.1278,12.9846,12.8069
BSU00600,12.1732,12.133,12.4283,11.6165,11.695,11.7257,12.9237,12.6401,12.8248,12.8152,12.8691,12.6182
BSU00610,12.0263,11.983,12.4944,11.846,12.1224,12.1311,12.7683,12.6263,13.0009,13.1762,12.9263,12.8801
BSU00620,13.8121,13.6847,13.948,12.6318,13.3528,13.9814,13.6103,13.2821,13.6365,14.0539,14.096,13.7357
BSU00630,14.3199,14.2384,14.3634,13.158,14.4644,14.7498,14.3728,14.1441,14.6678,14.9657,14.6834,14.371
new_70382_70493,8.5834,8.0679,8.3563,8.1196,10.537,10.9492,10.7986,10.5542,10.933,11.8683,11.2776,11.5193
BSU00640,8.7479,8.922,8.6573,8.727,9.4963,9.6727,8.6959,8.4899,8.7523,9.5594,9.3739,9.4223
new_71190_71799_c,8.2808,8.205,7.9347,7.1697,6.8824,7.1059,6.8457,6.897,7.2495,7.3765,6.8937,7.4624
BSU00650,10.0576,9.9462,9.8152,10.0737,10.3405,10.2563,9.2475,9.0368,8.7935,9.5022,9.469,9.3941
BSU00660,8.9973,8.8856,8.7778,9.417,9.3631,9.5423,8.4579,8.3436,8.5482,9.3652,9.2086,9.3709
BSU00670,12.5235,12.6376,12.6099,11.0148,12.1666,12.422,12.6044,12.5294,12.8653,13.811,13.7279,13.6143
BSU00680,13.4731,13.55,13.79,13.3115,13.6963,13.8628,14.1385,13.9988,14.1897,14.6566,14.3908,14.4157
new_76887_76983,13.8062,14.0689,14.0775,13.5871,14.2303,14.071,14.4865,14.2923,14.5686,14.9161,14.8227,14.6164
BSU00690,14.9271,14.9949,15.1402,14.5594,14.6289,14.5829,15.0033,14.9095,15.1093,15.5387,15.2948,14.9055
new_78940_79025,9.4496,9.3871,9.7512,8.9616,9.2531,9.0275,10.5185,10.4103,11.2311,11.9256,11.4963,11.9553
new_79027_79091,11.3587,10.5098,10.8507,9.225,11.183,10.8898,12.767,12.3307,12.0478,12.6309,12.296,12.0302
