LBexp_1,LBexp_2,LBexp_3,LBGexp_1,LBGexp_2,LBGexp_3,BI_1,BI_2,BC_2,BC_t1,BC_t2,BC_1,Sw_1,Sw_2
new_1_148,7.5155,7.2789,7.7432,7.4261,7.7452,7.6156,8.6845,8.8213,8.0367,9.0131,10.9067,7.9512,7.66,7.845
new_24_297_c,9.4848,9.3812,9.5933,9.0903,9.3353,9.248,8.9892,9.2052,8.8046,9.4377,10.9088,8.1874,8.1485,8.0466
new_150_409,15.2983,14.7772,14.6035,14.6136,14.708,14.6907,13.4233,13.1961,12.263,11.6547,12.2167,11.9154,10.7171,11.6516
new_299_1067_c,7.6081,7.8419,7.9202,8.0946,7.4601,7.7219,7.2892,7.4047,7.6717,9.0562,10.1227,7.5559,7.9475,6.9904
BSU00010,14.3735,13.6524,13.4978,14.1589,13.7993,13.9371,12.84,12.991,11.9794,11.5258,11.8215,11.7242,11.4736,11.9018
new_1751_1938,14.5806,13.8464,13.816,14.1105,13.363,14.2133,12.9193,13.122,11.896,11.5628,11.9994,12.007,11.0333,11.6253
BSU00020,14.295,13.4732,13.3349,13.933,13.1715,13.9566,12.7104,12.7361,11.444,11.1467,11.2534,11.3118,10.5858,11.2532
BSU00030,14.1569,13.3851,13.1908,13.8624,14.2321,13.4297,12.7722,12.9236,12.6975,12.232,12.5102,12.0208,12.0426,12.8112
BSU00040,14.0873,13.8232,13.7972,14.032,13.9726,13.7919,14.0981,14.1224,14.0193,13.6705,14.0454,13.6267,14.5643,14.7819
BSU00050,14.1905,13.9541,13.8688,14.1654,13.9043,13.8504,14.1225,14.3437,14.2044,13.8837,14.1386,13.9856,14.6474,14.7492
BSU00060,13.9702,13.7521,13.6273,14.0272,13.686,14.0328,13.9032,14.062,14.0043,13.6646,13.9983,13.5416,14.4463,14.7188
new_6784_6993,13.8178,13.3353,13.4236,13.6833,13.5932,13.8128,12.9057,13.179,13.1621,12.7819,13.2242,12.6978,13.5404,13.8779
BSU00070,14.3501,14.0148,14.0746,14.4847,14.3549,14.323,13.6608,13.9994,13.8549,13.2983,13.6404,13.4089,13.8679,14.371
new_9529_9614,15.6481,15.5927,15.233,15.4127,15.9096,15.9939,12.4426,13.1675,10.7876,10.8838,11.3288,10.8816,9.3998,11.905
new_14811_15868,10.2138,9.7853,9.4788,9.7536,7.9008,9.5692,8.5675,8.2108,7.4393,8.3227,9.7875,7.3254,7.1105,7.0138
BSU00080,7.1909,7.0049,7.5162,7.1834,7.5476,7.3012,7.3235,7.4222,8.1763,9.0019,10.5473,7.8793,7.7745,8.2767
BSU00090,15.6056,15.4023,15.2294,15.3453,16.1545,15.515,15.3221,15.2052,15.0194,14.6817,14.8964,14.7586,14.8209,15.2658
new_17238_17833_c,7.6713,7.6213,7.8204,7.4687,7.5845,7.5242,7.6574,7.9256,8.7298,9.7046,10.7986,8.3302,9.0434,10.1491
new_17453_17533,15.1136,14.847,14.3697,14.9037,14.4357,15.1262,13.3435,13.0624,13.64,12.3159,13.3105,12.4878,11.7437,12.9351
BSU00100,14.9702,14.7681,14.4302,14.9782,14.4898,14.9708,13.3879,13.5617,13.1521,12.2673,12.9465,12.4336,11.9962,13.0324
new_18866_18974,13.5847,13.9647,13.5009,13.6244,13.4624,13.217,13.1454,13.5139,13.0964,12.27,12.8955,12.3639,11.8989,12.8797
new_18976_19061,14.7077,14.9988,14.8322,14.5358,14.8902,13.4032,13.8307,14.2128,13.2786,12.4749,13.1555,12.5218,11.4668,13.245
BSU00110,14.6051,14.8497,14.7027,14.4734,14.7206,14.3161,13.9489,14.2741,13.2001,12.6189,13.0377,12.5087,12.7506,13.4647
new_19194_19923_c,7.3693,7.371,7.5465,7.0503,7.2378,7.5309,6.9711,7.1676,7.3304,8.6445,9.5549,7.2435,7.6808,6.8394
BSU00120,14.7726,14.9377,14.8074,14.8717,14.7554,14.523,14.3423,14.4089,13.2416,12.9707,13.24,12.8995,13.5121,13.9856
BSU_misc_RNA_1,14.8926,14.931,14.8324,14.9176,15.0425,15.0963,14.1726,14.4011,13.7852,15.1097,15.2073,13.6437,14.439,14.35
BSU00130,13.8404,13.9784,14.0338,14.0859,13.9397,14.092,12.4969,12.8211,11.0502,10.6474,10.7797,10.5782,11.3967,12.0885
new_22452_22529,9.923,10.0158,9.1642,9.7489,7.5961,8.8654,7.7304,7.9092,6.8972,7.8552,9.6915,6.9876,7.0032,6.7155
BSU00140,12.4894,12.4406,12.2317,12.4257,12.4628,12.7454,11.4396,11.5771,9.9169,9.6314,10.245,9.3215,9.7138,10.2608
new_22531_23167,8.4888,8.489,8.3576,8.8736,7.494,8.1542,7.6467,7.6297,7.2199,7.7309,9.037,7.3339,7.1055,7.0266
BSU00150,12.9231,12.8226,12.4665,13.0633,13.0014,13.1085,11.6067,11.7322,10.0789,9.458,10.2869,9.5225,9.6121,10.2636
