dia0_1,dia0_2,dia0_3,dia5_1,dia5_2,dia5_3,dia15_1,dia15_2,dia15_3,Diami_1,Diami_2,Diami_3,Paraq_1,Paraq_2,Paraq_3,H2O2_1,H2O2_2,H2O2_3,Oxctl_1,Oxctl_2,Oxctl_3
new_1_148,7.2273,7.1524,7.4673,7.5368,7.5519,7.7264,7.8975,7.7046,7.4893,8.4389,8.2727,8.9197,9.2771,9.1435,8.2415,9.1254,9.0285,8.9926,8.635,8.8614,8.8812
new_24_297_c,9.6803,9.8189,9.5559,10.1183,10.2452,10.1275,10.3565,10.3596,9.7304,9.9232,10.1628,10.4505,9.5912,10.0091,9.0402,9.8106,9.9771,10.0268,9.3692,9.7787,9.8641
new_150_409,14.3431,15.1378,14.9246,13.3084,14.0986,14.3134,14.9355,15.731,15.56,13.3466,14.2723,13.9817,14.5164,15.3226,13.5346,13.1882,14.0117,13.4447,14.2916,14.8455,15.3383
new_299_1067_c,7.1434,7.3158,7.0972,7.4617,7.883,7.8368,7.2754,7.5044,7.7053,8.1483,7.6475,8.0444,8.3906,7.7038,7.1997,7.7088,7.9301,7.787,7.945,7.8912,7.8455
BSU00010,13.6832,14.0305,14.213,12.1755,12.7126,12.9466,13.9831,14.3874,13.6804,12.5512,13.2939,13.215,14.0556,14.4187,13.3006,13.1365,13.3208,12.8887,13.6066,13.5891,14.2034
new_1751_1938,14.066,14.5841,14.4914,12.1326,12.7355,12.718,14.1716,14.7937,13.1121,12.386,13.3433,13.2031,13.9932,14.8883,13.3913,13.4856,13.7974,13.4151,13.9992,13.9158,14.7449
BSU00020,13.7782,13.9897,14.292,11.5689,11.8569,11.8241,13.7149,14.2292,12.1336,11.9965,12.6695,12.7262,13.7706,14.3549,13.0225,13.1669,13.5118,13.2562,13.7259,13.5948,14.2007
BSU00030,13.5181,13.3801,13.9007,12.2707,12.9123,12.9276,14.411,14.536,13.3816,13.1445,13.6274,13.6248,13.7831,14.2644,12.8236,14.4303,14.7356,14.6265,13.5358,13.4933,14.1478
BSU00040,13.6816,13.7482,14.0768,13.055,13.373,13.3592,14.2409,14.3145,13.6325,13.2081,13.6292,13.5931,14.1094,14.4896,12.8836,14.437,14.6311,14.4421,13.7788,13.6272,14.3563
BSU00050,13.6992,13.9612,14.1452,13.0629,13.2865,13.5044,14.3762,14.5062,13.8165,13.1049,13.9648,13.6182,14.0311,14.554,13.068,14.5134,14.7876,14.4661,13.8794,13.6355,14.5438
BSU00060,13.6496,13.7539,14.0452,12.7356,13.0547,13.1101,14.0465,14.2464,13.1306,13.2418,13.6283,13.7394,14.1822,14.4046,13.0776,14.5308,14.6113,14.4285,13.6294,13.5956,14.2851
new_6784_6993,13.3274,13.7446,13.4566,12.6504,12.6481,13.0081,13.9662,14.285,14.0312,12.0915,12.6932,13.1478,13.0614,13.849,12.8159,14.2508,14.1273,13.9507,13.5546,13.4557,13.9244
