SMMPr_1,SMMPr_2,SMMPr_3,HiOs_1,HiOs_2,HiOs_3,SMM_1,SMM_2,SMM_3,Salt_1,Salt_2,Salt_3
new_1_148,10.1367,10.2576,10.4293,10.5801,10.1997,10.6098,8.9801,9.1283,8.7507,8.6957,8.4264,8.0463
new_24_297_c,8.8066,8.9542,8.8893,9.2874,9.5394,9.8931,8.9902,9.1958,9.0092,9.2947,9.4103,9.053
new_150_409,13.8677,14.0603,14.2713,13.8876,13.5097,14.0255,14.1354,13.9792,14.1269,13.3635,13.2929,13.3097
new_299_1067_c,7.6437,7.7581,7.7379,8.2259,9.8047,8.6826,8.038,8.3383,7.6496,8.2526,8.1673,7.7753
BSU00010,13.0353,13.022,13.053,13.0397,12.7667,13.0522,13.3262,13.2237,13.3072,12.3451,12.1473,12.362
new_1751_1938,12.8024,12.9463,13.2067,12.9562,12.5825,12.8354,13.2899,13.1579,13.1692,12.1855,12.1982,12.3197
BSU00020,12.3529,12.5404,12.5252,12.148,11.9673,12.2297,12.7087,12.587,12.5739,11.3249,11.2229,11.3005
BSU00030,12.6878,12.5694,12.6238,12.8806,12.6331,13.1012,13.1159,12.9697,12.6825,13.8423,13.5479,13.8832
BSU00040,13.0291,12.9671,13.0747,13.5105,13.3851,13.459,13.2598,13.3575,13.435,13.6087,13.4794,13.6546
BSU00050,13.0739,12.9569,13.0589,13.5751,13.2955,13.4972,13.3772,13.4969,13.3287,13.6896,13.6779,13.931
BSU00060,12.8443,12.8837,12.9879,13.2367,13.1521,13.2481,13.2018,13.204,13.2881,13.4325,13.3122,13.5417
new_6784_6993,12.6189,12.7665,12.6363,12.8262,12.5512,13.0622,12.8615,12.9033,12.9548,13.0692,13.2766,13.3953
BSU00070,13.2006,13.2537,13.4666,13.4554,13.2028,13.2806,13.52,13.4669,13.5263,13.3821,13.2885,13.4435
new_9529_9614,14.4339,14.0895,14.0931,13.5907,13.3771,13.9876,14.8507,14.8488,14.404,14.0104,14.1392,14.2161
new_14811_15868,9.1581,8.686,8.9543,9.4135,9.3301,9.4283,9.3061,9.3065,9.4455,9.7104,9.732,9.4681
BSU00080,7.529,7.4973,7.592,7.3806,7.6652,7.552,7.2884,7.1758,7.0544,8.3904,8.6302,8.3247
BSU00090,14.0319,14.0935,14.3396,14.5452,14.2646,14.4419,14.614,14.3904,14.5672,13.039,12.9641,13.2715
new_17238_17833_c,7.7987,7.8358,8.1311,8.5511,8.897,8.4235,8.0178,8.1044,7.7486,10.6634,11.3769,10.9447
new_17453_17533,13.6749,13.321,13.4074,13.4733,12.9398,13.4017,14.2407,14.0172,14.0226,12.4407,11.9983,12.4283
BSU00100,13.2454,13.3579,13.5701,13.3164,13.0456,13.2204,13.8199,13.6756,13.8071,12.3017,12.1413,12.362
new_18866_18974,13.0084,12.9691,13.283,13.0112,12.6975,12.7866,13.3334,13.0538,13.4561,11.9062,11.8844,12.0562
new_18976_19061,14.6702,14.6018,14.8901,14.6173,14.0231,14.084,15.2356,15.2981,15.0613,13.1671,12.9253,13.076
BSU00110,14.5981,14.5773,14.8346,14.3781,14.0599,14.2295,15.1315,14.933,14.9961,12.9229,12.6712,13.0551
new_19194_19923_c,7.1916,7.2988,7.3012,7.2103,8.3179,7.9268,7.418,7.6019,7.1149,7.3191,7.3195,7.1724
BSU00120,14.607,14.6003,14.9672,14.4483,14.1255,14.3741,15.0495,15.1099,15.0445,13.0602,12.9108,13.0876
BSU_misc_RNA_1,13.7909,14.0691,14.3591,14.6512,14.5343,14.6857,14.1123,14.0315,14.1132,13.064,12.6769,12.9749
BSU00130,12.0612,12.2445,12.5614,12.2215,11.8391,12.0434,12.6109,12.5315,12.5256,11.6187,11.5016,11.6104
new_22452_22529,7.9302,7.804,7.7794,7.931,8.6014,8.1938,8.459,8.2178,8.7266,9.1017,8.8306,8.8669
BSU00140,10.7544,10.7095,11.0858,11.1523,11.0965,11.1728,11.2862,11.3453,11.4117,10.9394,10.9655,11.1222
new_22531_23167,7.8753,7.7713,7.7664,7.8541,8.465,7.9657,7.9906,7.9592,7.9543,8.3367,8.2897,8.2398
BSU00150,11.279,11.19,11.4223,11.6474,11.4251,11.5262,11.7193,11.7066,11.8328,11.4953,11.338,11.4909
BSU00160,10.2011,10.1057,9.652,9.9004,10.132,9.425,7.854,8.1571,8.4559,11.8009,12.0077,11.7049
BSU00170,7.3528,7.5992,7.7829,8.428,8.4075,8.2235,7.7422,7.5759,7.5647,13.1636,13.3806,13.0427
new_25655_25851,11.2635,10.8518,10.9893,11.95,11.9951,11.8567,11.211,11.2694,11.3274,11.7516,11.404,11.4601
BSU00180,10.6838,10.1824,10.182,11.4581,11.5772,11.4977,10.8407,10.82,10.8559,11.632,11.588,11.67
new_26383_26532,14.7232,14.9734,15.1091,15.4988,16.0498,15.4837,14.2964,14.2963,14.3241,14.672,14.075,13.8892
BSU_misc_RNA_2,14.627,14.8554,15.253,15.4334,16.3778,15.9514,14.4556,14.5455,14.3371,14.7655,14.2701,14.1713
new_26636_26731,14.2494,14.4836,15.0233,14.669,15.8266,15.3308,14.1706,14.2282,14.1098,14.5468,14.2293,14.0531
BSU00190,11.8322,11.7525,11.8856,12.4182,11.9549,12.2118,12.0775,12.0166,12.1356,11.7838,11.7119,11.7733
BSU00200,13.9514,14.0892,14.1359,13.9778,13.4922,13.7019,14.0257,14.0646,13.882,14.3539,14.1877,14.2248
BSU00210,12.4043,12.6726,12.6988,12.3631,12.0132,12.1202,12.623,12.5538,12.5323,12.6745,12.6894,12.7962
BSU00220,11.461,11.5149,11.637,11.3151,11.0023,10.9946,11.7273,11.5848,11.6413,11.5098,11.3833,11.8278
BSU00230,10.8847,10.7204,10.8873,10.6416,10.6889,10.4919,10.72,10.8429,11.0325,10.7397,10.7894,10.9163
new_30076_30278,14.7036,14.3616,14.4106,13.2789,12.8577,13.1972,15.1337,15.0878,14.8129,14.4498,14.8388,14.9149
new_35104_35236,11.6075,11.202,11.3024,9.8752,9.6468,10.108,11.4864,12.0842,11.7907,11.9632,12.063,11.9775
new_35356_35458,10.5632,10.1574,10.3543,9.3225,9.4793,9.4927,10.6148,10.5954,10.7984,11.3456,11.4061,11.1947
BSU00240,11.2123,11.0858,11.0511,10.298,10.2336,10.0665,10.6713,10.5856,10.8064,11.3102,11.3065,11.131
BSU00250,12.8261,12.7169,13.1048,12.8606,12.4216,12.7235,12.3079,12.2165,12.112,13.7834,13.5545,14.0256
BSU00260,12.24,12.3847,12.648,12.2863,11.9919,12.355,11.7574,11.9073,11.9249,13.3545,13.2614,13.6361
new_37639_37719,11.8894,11.9011,12.057,12.0906,11.7989,12.0103,11.6518,11.4767,11.7148,13.1016,12.7933,13.3544
BSU00270,11.3916,11.3309,11.3605,11.802,11.5006,11.6147,11.4962,11.4807,11.5398,12.1486,11.9018,12.3947
BSU00280,11.2652,11.2057,11.3374,11.6707,11.4781,11.4857,11.4417,11.4853,11.5132,12.6583,12.671,12.726
BSU00290,12.5634,12.6164,13.0465,13.2234,12.8534,12.939,12.8321,12.6367,12.7063,13.9756,13.778,13.9386
BSU00300,13.181,13.3048,13.7358,13.8371,13.4823,13.6146,13.4213,13.3832,13.3155,14.4741,14.4485,14.6481
BSU00310,12.8646,12.8441,13.0135,13.0768,12.786,12.9453,13.0528,12.9265,12.9273,13.8911,13.9021,14.0708
BSU00320,13.2847,12.9634,13.2136,13.696,13.3247,13.6464,13.4619,13.4637,13.546,13.917,13.9293,14.0256
BSU00330,12.5011,12.3615,12.5546,13.0955,12.8369,13.1793,12.8122,12.9403,12.9588,13.6129,13.3082,13.4255
BSU00340,10.9206,10.9057,10.8675,10.9729,10.7891,10.9032,11.3597,11.3575,11.4802,11.5546,11.3888,11.4807
BSU00350,11.413,11.3317,11.4974,11.3756,11.1021,11.0929,11.891,11.8048,11.9392,11.7543,11.7453,11.7979
BSU00360,11.1658,11.1356,11.4301,11.1619,10.8602,11.0479,11.4734,11.5365,11.5855,11.3549,11.3768,11.4557
BSU00370,13.17,13.1728,13.383,14.8163,14.5943,14.7877,13.3333,13.2599,13.3772,13.3219,13.3498,12.9817
new_45224_45399_c,8.3524,8.3134,8.6195,9.3863,9.2279,9.174,8.8366,9.0227,9.3263,8.588,8.5875,8.6083
new_45524_45632,12.7438,13.0147,12.7905,13.4397,12.955,13.3756,13.1353,13.0694,12.9829,12.7842,12.6665,12.5993
BSU00380,12.6395,12.7749,12.8529,13.1923,12.8277,13.0265,12.8845,12.8307,12.8809,12.3519,12.2255,12.4697
new_47673_50019_c,10.6499,10.8547,11.0052,8.7166,10.4197,9.3042,9.8097,10.1226,9.9918,11.4584,11.6248,11.7456
BSU00390,10.4501,10.7004,10.8304,11.6774,11.2761,11.3816,11.0456,10.9128,10.9761,10.652,10.3851,10.6408
new_48474_48554,10.6259,10.5243,11.0074,12.1389,11.8153,11.4859,11.0579,11.1553,11.0321,10.6735,10.0659,10.597
BSU00400,12.6871,12.3326,12.4401,14.3451,14.2553,14.1067,12.787,12.8045,13.1435,11.2516,10.9545,10.533
new_49987_50086,11.7681,11.5209,11.2456,12.2593,11.9584,11.7779,12.1735,12.1794,12.4283,11.8723,12.0448,12.075
BSU00410,10.7793,10.4029,10.4401,11.2655,10.9946,11.1404,11.2506,11.1289,11.1991,11.2894,11.3134,11.3284
BSU00420,10.2921,10.1256,10.2272,10.707,10.6904,10.7566,10.6528,10.6402,10.6893,10.6424,10.7582,10.6784
new_51558_51679,9.8597,10.1175,10.4758,7.617,8.2576,7.6052,7.4211,7.3025,7.2918,7.5348,7.4843,7.5802
BSU00430,9.0718,9.101,9.7987,7.4386,7.8793,7.4726,7.3291,7.0847,7.1018,7.35,7.3611,7.2968
new_52649_52719,9.6431,9.5613,9.9627,7.9671,8.1334,9.155,7.3317,7.1715,8.3258,7.1567,7.5527,7.0812
BSU00440,14.4348,15.0029,15.0573,15.616,15.384,15.7933,14.4752,14.8244,14.8089,15.7839,15.1884,15.2755
new_53111_53182,8.6207,8.6487,8.9927,9.2652,9.0491,9.1733,8.5053,8.4085,8.5537,9.2768,9.4874,9.3351
BSU00450,9.5111,9.1803,9.5163,9.4717,9.2459,9.3277,8.5505,8.4602,8.5598,9.4434,9.5113,9.5635
new_53363_55717_c,8.3319,7.9411,7.7447,7.7839,9.0626,8.1965,7.6508,7.8252,7.3915,7.8499,7.7778,7.2908
BSU00460,11.8571,11.918,11.8774,12.5093,12.2739,12.4331,12.2967,12.3089,12.4851,12.5694,12.5285,12.6388
BSU00470,12.8225,12.5305,12.654,13.1607,12.8566,12.9654,13.3411,13.1691,13.3361,12.7136,12.6365,12.6719
BSU00480,13.4888,13.6235,14.0108,13.8998,13.5605,13.8136,14.1029,14.0989,13.9217,13.2329,13.3464,13.4925
new_55707_55815,9.0528,9.1325,9.3971,10.2347,10.0878,10.2785,9.4039,9.5674,9.6779,9.2111,9.4581,9.5803
BSU00490,16.2709,16.0808,16.3619,16.2082,16.4156,16.3661,15.5623,15.5755,15.6557,15.1275,14.9519,14.9238
new_56193_56304,11.1844,11.3922,11.3393,10.398,10.3527,10.5144,9.4622,9.4439,9.428,8.9716,9.1818,9.1234
BSU00500,13.5991,13.7137,13.7837,13.7381,13.5283,13.7844,13.7887,13.8082,13.7706,12.9051,12.852,13.0915
BSU00510,13.4667,13.5254,13.768,13.6238,13.4411,13.6762,13.6772,13.5605,13.6612,12.7715,12.6569,12.7994
BSU00520,13.5008,13.5735,13.6331,14.2431,14.2028,14.0962,13.6693,13.6471,13.6636,16.452,16.4391,16.4256
BSU00530,11.5464,11.5531,11.828,11.9632,11.6871,11.7866,11.8893,11.8022,11.8051,13.2165,13.2537,13.2832
BSU00540,11.7685,11.8385,11.9325,12.2033,11.8205,12.0123,11.9842,11.9874,12.0323,13.2348,13.2693,13.2568
