Glu_1,Glu_2,Glu_3,GM-0.1_1,GM-0.2_1,GM+5_1,GM+15_1,GM+25_1,GM+45_1,GM+60_1,GM+90_1,GM+120_1,GM+150_1,GM-0.1_2,GM-0.2_2,GM+5_2,GM+10_2,GM+15_2,GM+25_2,GM+45_2,GM+60_2,GM+90_2,GM+150_2,GM-0.1_3,GM-0.2_3,GM+5_3,GM+10_3,GM+15_3,GM+25_3,GM+45_3,GM+60_3,GM+90_3,GM+120_3,GM+150_3
new_1_148,10.8665,9.3489,8.8529,7.7179,7.6968,8.037,7.9762,8.8331,9.7125,9.1871,9.0514,8.1024,10.4817,9.2033,8.1682,8.0516,7.7472,7.9806,7.7287,7.6263,7.5357,8.5093,10.8317,8.6003,8.3044,8.9666,8.4899,8.8923,8.8319,10.0156,9.9659,10.3422,10.349,10.2934
new_24_297_c,10.3279,9.2634,9.6329,9.0017,8.6881,8.8315,8.9614,9.1874,9.3355,9.2486,8.8895,7.9539,8.9531,9.4471,9.173,9.052,8.9203,9.1259,9.3546,8.6239,8.4879,9.127,7.9351,9.2052,9.0196,9.4703,8.2775,9.3105,9.1094,8.7125,8.4419,8.86,9.0905,9.5902
new_150_409,14.6988,14.6654,14.7236,13.57,13.6818,13.6778,13.8962,14.9375,14.4285,14.4579,14.3378,13.3081,14.7425,14.686,14.8506,14.1177,13.9745,14.072,14.9629,13.2127,13.4532,14.8598,13.6759,14.7783,14.4659,14.4381,13.4297,14.0808,13.5977,13.0578,13.3543,14.5507,14.6583,14.7181
new_299_1067_c,8.7166,7.9475,8.4441,7.4496,7.618,7.1462,7.1588,7.2841,7.262,7.2233,7.2577,7.7498,7.8147,7.8008,7.6233,7.678,7.2748,8.4868,7.3066,7.2721,7.0715,7.8002,7.1222,7.7493,7.0925,7.6436,7.3248,7.5583,7.5336,7.8149,7.466,7.6361,8.1721,7.5938
BSU00010,13.6407,13.5357,13.6089,12.9473,13.0292,12.8819,13.1887,13.763,13.6408,13.5861,13.6616,12.5849,13.1833,13.5883,13.7333,13.3501,13.2845,13.1303,13.5113,12.8253,12.743,13.5096,12.691,13.3438,13.3405,13.224,12.2249,13.0024,12.7371,12.7523,12.6762,13.4984,13.2657,13.5296
new_1751_1938,13.5589,13.5017,13.6028,12.4611,12.3756,12.5828,12.6946,13.6353,13.2744,13.2123,13.1985,12.2019,13.0218,13.5499,13.502,13.0295,12.8964,12.6956,13.3488,12.7202,12.5307,13.3923,12.5415,13.3361,13.0521,12.9916,12.0835,12.5725,12.5719,12.3333,12.4031,13.3946,13.153,13.3693
BSU00020,13.0558,13.1412,13.1312,12.1978,12.2634,12.0256,12.3908,13.2577,13.0649,12.9449,13.0339,12.0014,12.7829,13.0897,12.9612,12.5696,12.4618,12.2543,12.7522,12.1429,12.0955,13.0658,12.0814,12.5638,12.6082,12.4086,11.3168,12.127,11.9837,12.0015,12.1024,12.69,12.9246,12.9828
BSU00030,13.6584,13.1646,13.2213,12.8326,12.9709,12.9406,13.0008,13.5895,13.4841,13.1847,13.4758,12.2163,12.7448,13.4262,13.2673,13.4409,12.9399,12.8706,13.1714,12.5619,12.611,12.9712,12.3022,13.4739,13.1137,13.2527,12.315,13.138,12.9185,12.5279,12.5778,13.1829,12.7413,12.6634
BSU00040,13.6627,13.9106,13.8688,13.1517,13.1604,13.1841,13.2567,13.9402,13.697,13.7045,13.5817,12.7071,13.2271,13.7721,13.7696,13.649,13.5346,13.1638,13.6125,12.7914,12.7268,13.6931,12.5304,13.5746,13.671,13.8153,12.5988,13.2384,13.0585,12.6293,12.7064,13.2473,13.257,13.363
BSU00050,13.6907,13.9925,13.9501,12.9491,13.0466,13.0726,13.1692,14.0084,13.5943,13.6548,13.5621,12.4515,13.2197,13.9915,13.9142,13.5407,13.4051,12.9932,13.6745,12.8312,12.6838,13.7069,12.5012,13.7861,13.6315,13.6655,12.7204,13.1266,13.1923,12.5999,12.8786,13.4212,13.4117,13.4458
