T-5.40H_1,T-4.40H_1,T-3.40H_1,T-2.40H_1,T-1.40H_1,T-1.10H_1,T-0.40H_1,T0.0H_1,T0.30H_1,T1.0H_1,T1.30H_1,T2.0H_1,T2.30H_1,T3.0H_1,T3.30H_1,T4.0H_1,T5.0H_1
new_1_148,11.9368,12.0723,11.4024,11.5911,11.8061,12.0727,12.522,12.2134,12.8355,11.9474,11.6289,10.8689,11.3866,10.5279,10.4809,10.9378,10.2358
new_24_297_c,9.2711,9.5337,9.2287,8.8444,9.0404,8.8311,9.4396,8.9555,9.5424,8.7757,8.8566,8.7696,9.259,9.8495,10.2702,10.3839,10.1599
new_150_409,14.8324,14.5374,14.5532,14.2549,14.3594,14.1875,14.472,14.1251,13.8026,13.8641,13.643,13.397,14.0836,13.3243,13.4935,13.5111,12.5977
new_299_1067_c,7.6808,7.8399,7.6243,7.3588,7.5009,7.4411,7.3148,7.1611,8.1024,7.6871,7.8361,8.0728,8.5116,9.0056,9.8247,9.9938,10.0965
BSU00010,13.822,13.6691,13.5729,13.3636,13.2556,13.3463,13.4761,13.2183,12.8105,12.48,12.2602,12.2248,12.9663,12.1668,12.3025,12.255,11.3154
new_1751_1938,13.3227,13.3138,13.2206,13.0429,12.9325,12.9628,13.1907,12.9061,12.55,11.9979,11.9103,11.5024,12.2648,11.4307,11.8151,11.9085,10.8545
BSU00020,12.8161,12.7596,12.7312,12.4447,12.1703,12.3373,12.5243,12.3471,11.8374,11.4403,11.3251,11.0562,11.6808,11.0289,11.2439,11.1947,10.4867
BSU00030,14.1067,13.7039,13.4682,13.067,13.0992,13.2365,13.4932,12.8646,11.505,10.92,10.8087,10.8534,11.9211,11.6184,11.9328,12.2144,11.4339
BSU00040,14.1078,14.0139,13.8173,13.4947,13.5069,13.6206,13.982,13.7595,13.8386,13.0167,12.6748,12.3258,13.1786,12.8045,13.2885,13.2683,12.653
BSU00050,14.1669,13.9817,13.7397,13.4526,13.6087,13.6639,13.8209,13.6486,13.4984,12.9092,12.4398,12.242,12.9661,12.7394,13.2946,13.2138,12.5236
BSU00060,13.8774,13.7052,13.4205,13.266,13.1533,13.28,13.4112,13.2945,12.6659,12.1609,11.8132,11.6426,12.4653,12.0525,12.5193,12.5578,11.9723
new_6784_6993,13.3711,12.6745,13.067,12.3365,12.5932,12.3885,12.9483,12.6867,11.5755,11.394,11.0122,10.709,11.6393,11.6312,11.897,12.0905,11.4039
BSU00070,14.111,13.8752,13.6929,13.4611,13.487,13.4842,13.5653,13.4119,12.5439,12.077,11.8492,11.6794,12.6698,12.2878,12.7524,12.7839,12.1179
new_9529_9614,14.6189,14.4377,14.957,13.8415,14.9801,14.6813,15.0077,14.4899,15.1852,14.405,13.6335,12.8831,12.9518,12.6012,12.3464,12.9132,12.1439
new_14811_15868,9.3902,9.4641,9.5418,9.7177,10.6586,11.6224,12.3348,12.4921,11.8673,10.2914,9.9141,9.1876,9.2899,8.4168,9.0032,8.8445,8.3591
