LBexp_1,LBexp_2,LBexp_3,LBstat_1,LBstat_2,LBstat_3,LBGexp_1,LBGexp_2,LBGexp_3,LBGstat_1,LBGstat_2,LBGstat_3,M9exp_1,M9exp_2,M9exp_3,M9stat_1,M9stat_2,M9stat_3
new_1_148,7.5155,7.2789,7.7432,7.6085,8.02,7.6451,7.4261,7.7452,7.6156,8.1796,7.4733,8.0388,7.9534,7.7248,9.6001,8.2681,8.5065,8.0855
new_24_297_c,9.4848,9.3812,9.5933,8.7209,8.483,8.5356,9.0903,9.3353,9.248,9.054,7.6426,8.8408,9.3678,9.0638,8.7665,10.5123,9.2302,9.0251
new_150_409,15.2983,14.7772,14.6035,13.2775,12.8814,12.3058,14.6136,14.708,14.6907,15.1312,14.3294,13.6177,14.7974,14.4866,14.4668,11.4024,11.7494,11.0716
new_299_1067_c,7.6081,7.8419,7.9202,8.1564,8.3146,7.7711,8.0946,7.4601,7.7219,7.6037,7.2087,7.6783,7.3314,7.263,7.0807,10.411,8.8939,8.7018
BSU00010,14.3735,13.6524,13.4978,12.6096,12.1886,11.8923,14.1589,13.7993,13.9371,13.9846,13.2035,12.9061,13.8058,13.4113,13.3547,10.1624,10.3575,9.9452
new_1751_1938,14.5806,13.8464,13.816,13.0007,12.883,12.6613,14.1105,13.363,14.2133,14.182,13.4766,12.6966,13.475,13.1824,13.1556,9.6006,10.3034,9.2643
BSU00020,14.295,13.4732,13.3349,12.5014,12.4072,12.0869,13.933,13.1715,13.9566,13.6694,12.9293,12.325,13.343,12.8591,12.824,9.3508,9.5003,9.0831
BSU00030,14.1569,13.3851,13.1908,10.8155,10.642,10.2208,13.8624,14.2321,13.4297,12.407,11.5662,11.6167,13.7531,13.2609,13.0873,9.7791,9.5838,9.5451
BSU00040,14.0873,13.8232,13.7972,12.7834,12.6077,12.1702,14.032,13.9726,13.7919,13.2885,12.8968,12.6435,13.9198,13.4994,13.3783,11.3489,11.4371,11.2711
BSU00050,14.1905,13.9541,13.8688,12.804,12.6077,12.0259,14.1654,13.9043,13.8504,13.2006,12.8652,12.6431,13.9422,13.464,13.3763,11.3141,11.3469,11.1085
BSU00060,13.9702,13.7521,13.6273,12.5061,12.4513,12.1243,14.0272,13.686,14.0328,12.8994,12.2899,12.5158,13.8203,13.4945,13.2317,10.7612,10.5434,10.3109
new_6784_6993,13.8178,13.3353,13.4236,12.0456,12.1671,11.4496,13.6833,13.5932,13.8128,12.0921,11.4988,12.5418,13.4636,12.8072,12.8068,10.8677,10.4506,10.1105
BSU00070,14.3501,14.0148,14.0746,12.5623,12.3906,12.3622,14.4847,14.3549,14.323,13.4056,12.5158,13.2151,14.0605,13.7463,13.531,11.2923,10.8493,10.6189
new_9529_9614,15.6481,15.5927,15.233,10.8032,10.4126,11.1452,15.4127,15.9096,15.9939,16.4476,16.4085,14.9232,15.6494,15.2689,14.8134,11.4078,10.9716,10.7727
new_14811_15868,10.2138,9.7853,9.4788,7.9292,7.8025,7.5003,9.7536,7.9008,9.5692,11.3432,11.7437,9.7622,9.2979,8.9581,8.9401,7.9317,7.9918,7.6967
BSU00080,7.1909,7.0049,7.5162,7.2703,7.4218,7.5781,7.1834,7.5476,7.3012,7.4893,7.3334,7.8312,7.3134,7.3793,7.0895,8.1406,8.2011,7.9557
BSU00090,15.6056,15.4023,15.2294,13.9016,13.896,13.7295,15.3453,16.1545,15.515,12.452,11.5279,13.5202,15.1549,14.7791,14.7015,11.2786,11.0195,10.7257
new_17238_17833_c,7.6713,7.6213,7.8204,7.8757,7.9521,7.9336,7.4687,7.5845,7.5242,7.641,7.4328,8.4075,8.2154,8.0308,7.6018,8.1921,8.8119,8.7213
new_17453_17533,15.1136,14.847,14.3697,11.9637,11.3168,10.4402,14.9037,14.4357,15.1262,15.2239,13.9512,14.1133,14.4869,14.0835,14.0314,9.8687,9.5619,9.3977
BSU00100,14.9702,14.7681,14.4302,12.2768,12.1144,11.7914,14.9782,14.4898,14.9708,15.1834,13.9499,13.9989,14.2466,13.9166,13.8801,9.8938,9.6821,9.3957
new_18866_18974,13.5847,13.9647,13.5009,12.3907,12.1411,11.8921,13.6244,13.4624,13.217,12.5626,11.1754,11.8842,13.6022,13.3392,13.3891,9.8319,9.6612,9.2353
