SampleID,ConditionID,experimentID,condition_coarse,condition,annotation,type,medium,experiment,laboratory
LBtran_1,LBtran,1,transition phase,transition phase,growing in LB medium transition phase (E1_2),treatment,LB,1: growth cycle in LB medium,Jouy
LBtran_2,LBtran,1,transition phase,transition phase,growing in LB medium transition phase (E1_2),treatment,LB,1: growth cycle in LB medium,Jouy
LBtran_3,LBtran,1,transition phase,transition phase,growing in LB medium transition phase (E1_2),treatment,LB,1: growth cycle in LB medium,Jouy
LBstat_1,LBstat,1,stationary phase,stationary phase,growing in LB medium stationary phase (E1_3),treatment,LB,1: growth cycle in LB medium,Jouy
LBstat_2,LBstat,1,stationary phase,stationary phase,growing in LB medium stationary phase (E1_3),treatment,LB,1: growth cycle in LB medium,Jouy
LBstat_3,LBstat,1,stationary phase,stationary phase,growing in LB medium stationary phase (E1_3),treatment,LB,1: growth cycle in LB medium,Jouy
LBGtran_2,LBGtran,2,transition phase,transition phase,growing in LB medium with glucose transition phase (E2_2),treatment,LB,2: growth cycle in LB medium with glucose,Jouy
LBGtran_3,LBGtran,2,transition phase,transition phase,growing in LB medium with glucose transition phase (E2_2),treatment,LB,2: growth cycle in LB medium with glucose,Jouy
LBGstat_1,LBGstat,2,stationary phase,stationary phase,growing in LB medium with glucose stationary phase (E2_3),treatment,LB,2: growth cycle in LB medium with glucose,Jouy
LBGstat_2,LBGstat,2,stationary phase,stationary phase,growing in LB medium with glucose stationary phase (E2_3),treatment,LB,2: growth cycle in LB medium with glucose,Jouy
LBGstat_3,LBGstat,2,stationary phase,stationary phase,growing in LB medium with glucose stationary phase (E2_3),treatment,LB,2: growth cycle in LB medium with glucose,Jouy
S1_1,S1,3,sporulation,sporulation early stage,1h after sporulation induced (E3_2),treatment,CH,3: sporulation induction in CH medium,Jouy
S1_2,S1,3,sporulation,sporulation early stage,1h after sporulation induced (E3_2),treatment,CH,3: sporulation induction in CH medium,Jouy
S1_3,S1,3,sporulation,sporulation early stage,1h after sporulation induced (E3_2),treatment,CH,3: sporulation induction in CH medium,Jouy
S2_1,S2,3,sporulation,sporulation early stage,2h after sporulation induced (E3_3),treatment,CH,3: sporulation induction in CH medium,Jouy
S2_2,S2,3,sporulation,sporulation early stage,2h after sporulation induced (E3_3),treatment,CH,3: sporulation induction in CH medium,Jouy
S2_3,S2,3,sporulation,sporulation early stage,2h after sporulation induced (E3_3),treatment,CH,3: sporulation induction in CH medium,Jouy
G135_1,G135,4,germination,germination,135 min after germination with L-alanine (E4_1),treatment,LB,4: germination with L-alanine,Jouy
G135_3,G135,4,germination,germination,135 min after germination with L-alanine (E4_1),treatment,LB,4: germination with L-alanine,Jouy
G150_1,G150,4,germination,germination,150 min after germination with L-alanine (E4_2),treatment,LB,4: germination with L-alanine,Jouy
G150_2,G150,4,germination,germination,150 min after germination with L-alanine (E4_2),treatment,LB,4: germination with L-alanine,Jouy
G150_3,G150,4,germination,germination,150 min after germination with L-alanine (E4_2),treatment,LB,4: germination with L-alanine,Jouy
G180_1,G180,4,germination,germination,180 min after germination with L-alanine (E4_3),treatment,LB,4: germination with L-alanine,Jouy
G180_2,G180,4,germination,germination,180 min after germination with L-alanine (E4_3),treatment,LB,4: germination with L-alanine,Jouy
G180_3,G180,4,germination,germination,180 min after germination with L-alanine (E4_3),treatment,LB,4: germination with L-alanine,Jouy
C30_1,C30,5,competence,competence,30min after competence induction in minimal medium (E5_1),treatment,minimal medium,5: competence induction,Jouy
C30_2,C30,5,competence,competence,30min after competence induction in minimal medium (E5_1),treatment,minimal medium,5: competence induction,Jouy
C90_1,C90,5,competence,competence,90min after competence induction in minimal medium (E5_2),treatment,minimal medium,5: competence induction,Jouy
C90_2,C90,5,competence,competence,90min after competence induction in minimal medium (E5_2),treatment,minimal medium,5: competence induction,Jouy
BI_1,BI,6,low motility,low motility,individual colonies from LB agar (E6_1),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
BI_2,BI,6,low motility,low motility,individual colonies from LB agar (E6_1),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
BC_2,BC,6,low motility,low motility,confluent colonies from LB agar (E6_2),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
BC_t1,BC,6,low motility,low motility,confluent colonies from LB agar (E6_2),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
BC_t2,BC,6,low motility,low motility,confluent colonies from LB agar (E6_2),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
BC_1,BC,6,low motility,low motility,confluent colonies from LB agar (E6_2),treatment,LB agar,6: individual/confluent colonies from LB agar,Jouy
Sw_1,Sw,7,low motility,low motility,swarming cells from LB agar (E7_1),treatment,LB agar,7: swarming cells from LB agar,Jouy
Sw_2,Sw,7,low motility,low motility,swarming cells from LB agar (E7_1),treatment,LB agar,7: swarming cells from LB agar,Jouy
B36_1,B36,8,biofilm formation,biofilm formation,36h of growth without shaking biofilm formation  (E8_2),treatment,MSgg,8: biofilm formation without shaking  VS growing with shaking,Jouy
B36_2,B36,8,biofilm formation,biofilm formation,36h of growth without shaking biofilm formation  (E8_2),treatment,MSgg,8: biofilm formation without shaking  VS growing with shaking,Jouy
B60_1,B60,8,biofilm formation,biofilm formation,60h of growth without shaking biofilm formation  (E8_3),treatment,MSgg,8: biofilm formation without shaking  VS growing with shaking,Jouy
B60_2,B60,8,biofilm formation,biofilm formation,60h of growth without shaking biofilm formation  (E8_3),treatment,MSgg,8: biofilm formation without shaking  VS growing with shaking,Jouy
M9tran_1,M9tran,9,transition phase,transition phase,growing in M9 with glucose transition phase  (E9_2),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
M9tran_2,M9tran,9,transition phase,transition phase,growing in M9 with glucose transition phase  (E9_2),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
M9tran_3,M9tran,9,transition phase,transition phase,growing in M9 with glucose transition phase  (E9_2),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
M9stat_1,M9stat,9,stationary phase,stationary phase,growing in M9 with glucose stationary phase  (E9_3),treatment,M9,9: growth cycle in M9 medium with glucose,Greifswald
