PanelName,perfermance_f1score,frequency_score,effectSize_score,pairwise_distance_GRN,n_regulators_GRN,closeness_centrality_GRN,pairwise_distance_CEN,n_modules_CEN,betweenness_centrality_CEN
panel1,0.955286561264822,0.105795574288725,0.933841873576273,2.33333333333333,8,0.380865583827007,0.155282984102765,7,0.00234195610311207
panel2,0.955780632411067,0.0971783163563986,0.933841873576273,2.33333333333333,8,0.380865583827007,0.160981177944285,7,0.00203690471433778
panel3,0.949851778656126,0.0919388830347734,0.906220880330209,2.33333333333333,8,0.380865583827007,0.162883093315455,6,0.00210825086515694
panel4,0.944169960474308,0.0930302574138191,0.846759173832234,2.33333333333333,7,0.357074876177532,0.170910191083445,6,0.00162381079143874
panel5,0.933053359683794,0.105374077976818,0.79741458812003,2,5,0.379776067463018,0.119596479232143,5,0.0018944459233452
panel6,0.933300395256917,0.145310853530032,0.838669039977997,2.33333333333333,22,0.363868993665904,0.131098997610959,8,0.00286259143887703
panel7,0.943922924901186,0.142020840650978,0.838669039977997,2.4,15,0.356297708070316,0.136227638411375,8,0.00317854690995363
panel8,0.949604743083004,0.144757639620653,0.800435547596977,2.4,15,0.356297708070316,0.145787653899576,8,0.00337029806855561
panel9,0.938982213438735,0.145566762005118,0.781715109587552,2.4,15,0.356297708070316,0.13856164219622,7,0.00364232129152292
panel10,0.922430830039526,0.137688795223042,0.781715109587552,2.5,12,0.351921575054227,0.147566491006251,6,0.00418669020453976
panel11,0.906126482213439,0.151949420442571,0.715244145671069,2,11,0.375885101377967,0.146272262872681,5,0.00474836114445124
panel12,0.945158102766798,0.18809272918862,1.19129377813969,8.06666666666667,13,0.242526410065502,0.10756722331963,6,0.0110631739701013
panel13,0.939723320158103,0.20828942746751,1.03915373805302,6.1,12,0.290963711113273,0.109480255511956,5,0.0120403624016034
panel14,0.945158102766798,0.216938883034773,1.02287603538579,6.1,12,0.290963711113273,0.10029770372492,5,0.0133621407633307
panel15,0.939723320158103,0.206683727231672,0.962249089894519,2.16666666666667,11,0.363577174581598,0.109218103313312,5,0.0044134401611179
panel16,0.912055335968379,0.200737618545838,0.959152020075376,2.33333333333333,9,0.359872346853997,0.116570113932338,5,0.00479184601581542
panel17,0.906373517786561,0.189251844046365,0.954017781766745,2,7,0.377943413939338,0.119982995496886,4,0.00553650627598779
panel18,0.917243083003953,0.244072708113804,0.926475226146527,2,11,0.382775727558191,0.112279777513152,5,0.00574739752385311
panel19,0.906126482213439,0.00250263435194942,0.56265511747094,3,17,0.330737765449488,0.195557224663569,8,0.00227369315767106
panel20,0.900197628458498,0.00255908475086557,0.547638182619915,3,15,0.336675557374551,0.185354927881962,7,0.00256679349630597
panel21,0.944664031620553,0.249104320337197,1.10628103515354,2.3,16,0.369171927098512,0.107395054498351,5,0.00380802934139101
panel22,0.93354743083004,0.26214728954455,1.09710200544683,2.3,16,0.369171927098512,0.104172226512551,5,0.00414185616055569
panel23,0.922430830039526,0.272523709167545,1.08138247100049,2.33333333333333,11,0.362912943899522,0.109352930894995,4,0.00426273683817245
panel24,0.928112648221344,0.290531386421797,1.06467744371341,2.66666666666667,8,0.356862300778009,0.118140747161393,4,0.00281106787086995
panel25,0.900938735177866,0.319634703196347,1.01915544663196,2.66666666666667,8,0.356862300778009,0.120132197163964,4,0.00294067739881595
panel26,0.944911067193676,0.135405690200211,0.870277378363738,2.3,14,0.3615781295523,0.126281546017577,5,0.00376076678669114
panel27,0.928112648221344,0.135815478281232,0.713245409151732,2.3,14,0.3615781295523,0.127434844760502,5,0.00408934221088917
panel28,0.934041501976285,0.129873551106428,0.674351518755066,2.3,14,0.3615781295523,0.129978616811241,5,0.00396458266199023
panel29,0.93354743083004,0.135029354207436,0.611683853646036,2.3,14,0.3615781295523,0.135390828655235,5,0.00331936494889564
panel30,0.922430830039526,0.140323147172462,0.536264316999744,2.33333333333333,12,0.360136649833288,0.136820894119629,4,0.00357899172178815
panel31,0.900197628458498,0.127924130663857,0.52849394170888,2.33333333333333,12,0.360136649833288,0.127656820553637,3,0.00278269966327765
panel32,0.950345849802372,0.178398314014752,1.11593525570998,6.3,8,0.287514729209158,0.114832885045982,6,0.0112485814228271
panel33,0.933300395256917,0.18885376419623,1.08891963670464,7.33333333333333,7,0.246333984817589,0.112670348799676,5,0.0118873869830096
panel34,0.944911067193676,0.203503688092729,1.041143446922,9,4,0.201423688668765,0.119207788689762,5,0.011499698771267
panel35,0.933794466403162,0.21375884389583,0.91700656026681,9,4,0.201423688668765,0.117031960439821,5,0.0130277146001753
panel36,0.933794466403162,0.238321039690903,0.877924289742087,12,3,0.162120034961643,0.113505355663696,4,0.0149692777827074
panel37,0.916749011857708,0.234351949420443,0.877924289742087,13,1,0.000509857239972808,0.115341118725875,4,0.0177494243962582
panel38,0.927865612648221,0.00579557428872497,0.764916367070537,3.66666666666667,18,0.313952823368189,0.164879306524298,8,0.00170120289117314
panel39,0.917243083003953,0.00632244467860906,0.764916367070537,3.33333333333333,17,0.3255972163773,0.15467233441269,7,0.00183892228091123
panel40,0.911561264822134,0.00632244467860906,0.764916367070537,2.8,16,0.349771454468942,0.142387981002907,6,0.00187108188595651
panel41,0.911067193675889,0.00677404786993828,0.764916367070537,2.8,16,0.349771454468942,0.145896014318384,6,0.00184015284494915
panel42,0.912302371541502,0.200361282553063,0.870933195900713,2.5,13,0.36049618011719,0.144909973154475,6,0.00162265435776455
panel43,0.923418972332016,0.203196347031963,0.870933195900713,2.5,13,0.36049618011719,0.151346761513088,6,0.00104519365037852
panel44,0.967144268774704,0.128767123287671,0.873886105326722,2.26666666666667,12,0.360025978440326,0.122894806998966,6,0.00547012698308916
panel45,0.966897233201581,0.142606252195293,0.823897059790731,2.2,10,0.358443397753394,0.127076642565577,6,0.00606567253401083
panel46,0.956274703557312,0.143835616438356,0.811026006065212,2.16666666666667,9,0.374148214690366,0.131137964609537,6,0.00616292971796584
panel47,0.950839920948617,0.14451302122535,0.772696918802807,2.16666666666667,9,0.374148214690366,0.124447804884768,5,0.00683390031942032
panel48,0.934041501976285,0.105374077976818,0.772696918802807,2.16666666666667,9,0.374148214690366,0.138972285469734,5,0.00638298755595823
panel49,0.911808300395257,0.10958904109589,0.731282864701241,2.66666666666667,8,0.348118383995343,0.137869551434528,4,0.00655971879091301
panel50,0.933794466403162,0.188303477344573,1.03334650917895,2.76190476190476,20,0.347321919930451,0.113924476227918,6,0.00248558071762492
panel51,0.938982213438735,0.168130195527456,0.92391948312421,2.86666666666667,16,0.342738580816424,0.10131971752281,5,0.00274674248324907
panel52,0.93354743083004,0.181111696522655,0.825098374268932,2.7,14,0.350158460392999,0.107886843649816,5,0.00222994883003383
panel53,0.93354743083004,0.187114255607406,0.813834821863035,2.7,14,0.350158460392999,0.10091839461586,5,0.00233906501892659
panel54,0.911561264822134,0.205479452054795,0.782549943955905,2.33333333333333,12,0.367022959761747,0.109069489784945,5,0.00244568672107984
panel55,0.911561264822134,0.228661749209694,0.754841596692482,2.33333333333333,8,0.358760102726797,0.111497578979362,4,0.00292915754029226
panel56,0.922924901185771,0.138988408851423,1.01362507289125,5.42857142857143,15,0.282981592535046,0.115559265983606,7,0.0100362252848441
panel57,0.923171936758893,0.145884556843461,0.952603518388228,5.66666666666667,13,0.283021753908909,0.120930437267268,7,0.0109625464491593
panel58,0.934288537549407,0.131849315068493,0.950249110811461,6.06666666666667,11,0.276237010779842,0.121094989453433,6,0.012199296665935
