PanelName,Anarobic,Biofilm,Cold,Germination,Heat,LowMotility,Mitomycin,Oxidative,Salinity,ShiftFromGlucose,ShiftToGlucose,Starvation,Stationary
panel1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.965517241379312,1.0,1.0,1.0,1.0,1.0
panel2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9713793103448292,1.0,0.5,1.0,1.0,1.0
panel3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95749202817946,1.0,0.7499999999999999,1.0,1.0,0.9411764705882331
panel4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.936016420361249,1.0,0.5909393939393941,1.0,1.0,0.9411764705882331
panel5,1.0,1.0,1.0,1.0,1.0,1.0,0.7145454545454548,0.9974193548387098,1.0,0.5804444444444451,1.0,1.0,0.9411764705882331
panel6,1.0,1.0,1.0,1.0,1.0,1.0,0.6290109890109882,0.9558620689655184,1.0,0.7499999999999999,1.0,1.0,0.9411764705882331
panel7,1.0,1.0,1.0,1.0,1.0,1.0,0.6550549450549445,0.9336551724137933,1.0,1.0,1.0,1.0,0.9411764705882331
panel8,1.0,0.8571428571428572,1.0,1.0,1.0,1.0,0.6993040293040289,0.9371954022988508,1.0,0.8888888888888871,1.0,1.0,0.9411764705882331
panel9,1.0,0.6666666666666659,1.0,1.0,1.0,1.0,0.49214285714285644,0.965517241379312,1.0,1.0,1.0,1.0,0.9411764705882331
panel10,1.0,0.8571428571428572,1.0,1.0,1.0,1.0,0.5404761904761898,0.965517241379312,1.0,1.0,1.0,1.0,0.9411764705882331
panel11,1.0,0.7999999999999985,1.0,1.0,0.9090909090909078,1.0,0.6747619047619043,0.965517241379312,1.0,1.0,1.0,1.0,0.9411764705882331
panel12,1.0,1.0,1.0,1.0,1.0,1.0,0.5973333333333334,1.0,1.0,0.5714285714285708,1.0,1.0,1.0
panel13,1.0,1.0,1.0,0.9411764705882331,1.0,1.0,0.6825920745920742,0.9996774193548387,1.0,0.7499999999999999,1.0,1.0,1.0
panel14,1.0,0.8571428571428572,1.0,1.0,1.0,1.0,0.6998461538461537,0.9755172413793116,1.0,0.7499999999999999,1.0,1.0,1.0
panel15,1.0,0.8571428571428572,1.0,1.0,1.0,1.0,0.6923799533799527,0.965517241379312,1.0,0.7499999999999999,1.0,1.0,1.0
panel16,1.0,0.6666666666666659,1.0,1.0,0.9230769230769211,1.0,0.5564901764901765,0.965517241379312,1.0,0.2857142857142854,1.0,1.0,1.0
panel17,1.0,0.7999999999999985,1.0,1.0,1.0,1.0,0.3621820679320676,0.965517241379312,1.0,0.5454545454545463,1.0,1.0,1.0
panel18,1.0,1.0,1.0,0.9411764705882331,0.9090909090909078,1.0,0.7266666666666669,0.965517241379312,1.0,1.0,1.0,1.0,0.9411764705882331
panel19,1.0,0.8571428571428572,1.0,1.0,1.0,1.0,0.5331818181818186,0.9515517241379321,1.0,0.4186666666666658,1.0,1.0,1.0
panel20,1.0,1.0,1.0,1.0,1.0,1.0,0.4098787878787878,0.9565024630541882,1.0,0.7151515151515153,0.8888888888888871,1.0,1.0
panel21,1.0,1.0,1.0,1.0,1.0,1.0,0.833333333333333,1.0,1.0,1.0,1.0,1.0,1.0
panel22,1.0,1.0,1.0,1.0,1.0,1.0,0.833333333333333,1.0,1.0,1.0,1.0,1.0,1.0
panel23,1.0,0.6583333333333325,1.0,1.0,1.0,1.0,0.5786007326007324,1.0,1.0,1.0,1.0,1.0,1.0
